"","Id.Latido","Registro","Error","Time","Position","Frecuency","Channels","Order","C1_Position","C1_Error","C1_ErrorRMSE","C1_ErrorNRMSD","C1_ErrorAbsMax","C1_MDL","C1_FSS","C1_ESC","C1_VAR","C1_BIC","C1_AIC","C1_Sigma","C1_H0","C1_H1","C1_H2","C1_H3","C2_Position","C2_Error","C2_ErrorRMSE","C2_ErrorNRMSD","C2_ErrorAbsMax","C2_MDL","C2_FSS","C2_ESC","C2_VAR","C2_BIC","C2_AIC","C2_Sigma","C2_H0","C2_H1","C2_H2","C2_H3","Type","RR1","RR2"
"12",11,100,0.05448456,100077721,3282,360,2,4,3282,0.013204167,4.694175,0.018124226,13,70.54954,3173.08,240309,19.005684,293.96036,283.4861,4.3200006,414.54086,53.234566,-249.78351,-8.132527,3282,0.041280393,5.0876274,0.03240527,16.322966,69.95978,3727.289,90292,21.92809,305.55078,295.07654,5.040001,210.3342,-146.91316,-97.42435,106.06254,1,284,2
"13",12,100,0.08131426,99654662,3560,360,2,4,3560,0.016294433,5.1704345,0.0204365,14,82.77788,3849.6086,236253,21.167192,307.8757,297.40146,4.3200006,409.96936,-71.81449,-236.75983,55.82145,3560,0.06501982,5.366158,0.038885202,21.121098,74.73061,4146.574,63774,23.415972,313.2261,302.75186,2.88,132.85423,-192.86465,52.452717,-45.0457,1,278,30
"14",13,100,0.025980849,99610490,3862,360,2,4,3862,0.01143236,4.8798943,0.017680775,12.859482,71.01412,3429.125,299949,20.523314,299.54773,289.0735,4.3200006,484.20425,38.4298,-246.12138,-3.6752582,3862,0.014548489,3.9130268,0.020594878,13.453421,64.040215,2204.8962,151555,13.951899,267.75073,257.2765,5.040001,303.91226,-189.27586,-90.26609,114.07965,1,302,0
"15",14,100,0.039964505,100117827,4170,360,2,4,4170,0.014625955,5.466847,0.019879444,17.02239,60.899986,4303.6436,294247,28.112442,315.903,305.42877,4.680001,469.3478,8.021754,-262.01324,30.671131,4170,0.025338547,5.155473,0.026851423,16.753267,61.702587,3827.3623,151049,24.438831,307.4584,296.98416,5.760001,286.41812,-182.94893,-107.15652,142.24457,1,308,0
"16",15,100,0.04297021,99432917,4466,360,2,4,4466,0.01036884,4.240147,0.016628029,10.829491,66.30179,2588.954,249686,16.166752,279.31204,268.8378,4.680001,421.5926,-58.693222,-251.1812,53.10184,4466,0.03260137,4.2398686,0.029240474,14.481398,68.09344,2588.614,79402,15.523137,279.30258,268.82834,4.680001,183.59161,-192.48256,-14.352491,76.498215,1,296,14
"17",16,100,0.014504595,145378629,4764,360,2,4,4764,0.0067435913,3.6948268,0.013995556,10,71.60762,1965.8513,291514,11.835722,259.48837,249.01413,4.3200006,488.22067,41.87985,-221.94933,-13.1637125,4764,0.007761003,2.4122772,0.014983089,7.9195685,62.40083,837.94775,107969,5.479616,198.0922,187.61795,4.680001,256.77167,-177.24757,-49.072327,85.875275,1,298,0
"18",17,100,0.049552962,99741509,5060,360,2,4,5060,0.0123129785,4.997721,0.01817353,12.748119,71.65267,3596.7195,292108,21.386929,302.98334,292.5091,4.3200006,478.8991,3.434716,-242.72192,15.531555,5060,0.037239984,6.353654,0.033265203,18.72827,71.57466,5813.124,156099,33.86455,337.55026,327.07602,5.040001,299.41757,-201.28558,-89.253555,110.240425,1,296,0
"19",18,100,0.046656553,100196234,5346,360,2,4,5346,0.01153357,4.3792787,0.016973948,11,69.607605,2761.644,239444,16.714674,283.96124,273.487,4.3200006,421.79645,17.285297,-241.16862,17.580002,5346,0.035122983,5.3530583,0.030764703,16.276043,72.20317,4126.3535,117483,23.956842,312.8741,302.39987,5.040001,245.48456,-177.62633,-92.01541,114.35058,1,286,11
"20",19,100,0.032620586,99610902,5633,360,2,4,5633,0.006865687,4.4794154,0.015288107,13.555092,59.48522,2889.3833,420844,19.60034,287.21686,276.7426,5.040001,597.0351,38.393925,-244.895,-7.49011,5633,0.0257549,5.1815104,0.027708612,23.276672,65.41638,3866.1196,150112,23.832512,308.18384,297.7096,3.6000004,324.8931,-195.57701,-25.257626,-42.450447,1,287,0
"21",20,100,0.08691619,99617437,5918,360,2,4,5918,0.014564703,5.2849936,0.019218158,13.999986,66.32316,4022.0864,276153,24.914974,311.0314,300.55716,4.3200006,450.2483,14.300886,-263.0168,5.004736,5918,0.07235149,7.440055,0.043256134,22.88861,69.059326,7971.036,110171,46.692673,360.2804,349.80615,5.040001,211.71823,-187.96219,-101.12282,108.71851,1,285,13
"22",21,100,0.03080723,100027404,6214,360,2,4,6214,0.007916631,4.3591223,0.014928501,10.9793625,67.46869,2736.2805,345637,17.010939,283.2969,272.82266,4.3200006,530.83417,-1.6784298,-246.89478,12.487803,6214,0.0228906,5.4797826,0.02647238,15.7298,71.488464,4324.034,188900,25.4375,316.24335,305.7691,5.040001,337.20218,-225.75053,-79.9304,116.26902,1,296,6
"23",22,100,0.042872064,99561999,6527,360,2,4,6527,0.008640586,4.199221,0.0153256245,12.599287,61.921036,2539.2178,293871,16.64235,277.91537,267.44113,4.680001,468.76102,-57.87195,-253.74837,62.10881,6527,0.034231476,5.775091,0.031386364,18.334728,71.27041,4802.642,140299,28.083717,323.80173,313.32748,5.040001,266.0951,-227.16,-34.520153,109.07095,1,313,0
"24",23,100,0.030044276,99808421,6823,360,2,4,6823,0.009549434,4.329489,0.015975975,11.94479,68.066864,2699.2048,282656,16.620293,282.31467,271.84042,4.3200006,466.99564,27.726917,-247.1875,1.1931698,6823,0.020494843,3.5446005,0.022721797,11.97183,62.115906,1809.2438,88278,11.567516,253.5112,243.03696,5.040001,203.78976,-167.24718,-78.9432,103.609116,1,296,4
"25",24,100,0.033294868,133125490,7106,360,2,4,7106,0.0054264553,3.3934,0.012076156,10.432614,64.25922,1658.1836,305574,10.7341795,247.2338,236.75955,4.3200006,489.34592,-64.50619,-239.1545,55.681286,7106,0.027868412,4.8816786,0.027580105,16.110474,66.88342,3431.6328,123137,20.852425,299.60034,289.12613,4.680001,239.36754,-227.79132,-22.736547,100.01359,1,283,15
"26",25,100,0.06613899,100493959,7391,360,2,4,7391,0.020095699,8.174453,0.025950644,23.777145,56.658684,9622.323,478825,65.358536,373.8359,363.36166,5.400001,629.71277,14.398591,-269.17255,-1.8949628,7391,0.04604329,8.678366,0.04055311,23.038315,56.97577,10845.221,235544,71.60089,382.44992,371.97568,6.4800014,390.8021,-207.07375,-142.09586,94.34924,1,285,0
"27",26,100,0.07539309,100000881,7670,360,2,4,7670,0.010508464,4.4243236,0.016325917,11,73.25258,2818.7483,268236,16.608667,285.43484,274.9606,4.3200006,441.57358,-72.11448,-247.63647,62.495907,7670,0.064884625,6.6542654,0.04057479,20.431381,65.566414,6376.212,98270,38.45989,344.2071,333.73285,5.040001,196.48375,-197.66154,-44.582905,110.59017,1,279,10
"28",27,100,0.10277392,100025696,7953,360,2,4,7953,0.007685306,3.966686,0.014372051,12,65.29512,2265.782,294820,14.387356,269.71198,259.23773,4.3200006,478.3115,-52.365273,-243.77351,40.05864,7953,0.095088616,7.450634,0.046859335,20.804337,71.77661,7993.7197,84066,45.707504,360.485,350.01074,4.680001,156.98164,-204.99979,-49.049103,83.65591,1,283,5
"29",28,100,0.048717186,100185673,8245,360,2,4,8245,0.022358036,7.442322,0.025142979,25.120293,60.915154,7975.894,356735,51.503376,360.32425,349.85,4.680001,529.823,48.107914,-255.69316,-18.79974,8245,0.026359152,5.8985887,0.028773604,17.903706,60.42025,5010.242,190076,32.37771,326.84863,316.3744,5.400001,357.21143,-195.77893,-102.42668,92.97918,1,292,0
"30",29,100,0.044253625,100025992,8539,360,2,4,8539,0.011899256,4.941534,0.017461251,12,68.716095,3516.3015,295506,21.427578,301.35526,290.881,4.3200006,470.29358,-40.801643,-259.19852,44.32766,8539,0.03235437,5.6781077,0.030042898,19.02025,67.047295,4642.6904,143495,28.083033,321.3629,310.88867,5.040001,272.82645,-211.44623,-70.851524,121.19645,1,294,2
"31",30,100,0.055271663,100762278,8837,360,2,4,8837,0.011204227,4.557257,0.016941477,12,80.52401,2990.677,266924,16.756939,289.69772,279.22348,4.3200006,447.2767,-2.2148159,-252.1607,16.93952,8837,0.044067435,5.2016735,0.0337771,17.865534,68.09697,3896.2664,88416,23.21994,308.7431,298.26886,5.040001,195.10716,-175.0822,-71.84596,103.13734,1,298,2
"32",31,100,0.02377775,100212787,9141,360,2,4,9141,0.009930504,4.6827493,0.016546817,11,84.11862,3157.6519,317975,17.353954,293.6094,283.13516,4.3200006,498.6279,16.011946,-256.68427,-6.663762,9141,0.013847245,3.0737684,0.01818798,10.425091,63.967613,1360.5195,98252,8.625558,232.98814,222.5139,4.680001,218.29567,-193.24063,-62.453808,89.42087,1,304,0
"33",32,100,0.05665458,134222372,9431,360,2,4,9431,0.0164995,7.3786254,0.02263382,18.978369,73.90216,7839.952,475163,45.59404,359.08652,348.61227,4.680001,615.40564,30.829098,-295.69238,-14.644027,9431,0.04015508,8.168224,0.03598337,21.792341,66.77337,9607.665,239264,57.97868,373.72617,363.25192,5.400001,379.8758,-225.16324,-149.5278,110.87701,1,290,3
"34",33,100,0.039756835,99876561,9710,360,2,4,9710,0.010401173,4.419105,0.01601125,11.965126,68.38226,2812.1025,270364,17.235449,285.2649,274.79065,4.3200006,446.29822,-5.4261827,-259.7747,29.282536,9710,0.029355664,5.029373,0.027633918,18.203918,69.08844,3642.4214,124079,21.717756,303.89246,293.4182,5.040001,252.97412,-183.61316,-84.40135,124.91311,1,279,20
"35",34,100,0.057389062,100122537,9998,360,2,4,9998,0.014362761,5.045572,0.018897273,13.86042,63.5893,3665.9224,255238,23.30651,304.3555,293.88126,4.680001,415.53867,-33.418034,-272.7393,58.27711,9998,0.043026302,4.820528,0.032352537,16.758152,60.43702,3346.1985,77771,21.344465,297.78516,287.3109,5.040001,174.71848,-173.2262,-40.07372,110.837875,1,288,0
"36",35,100,0.06470117,100326239,10282,360,2,4,10282,0.011207572,5.007059,0.01763049,13.929962,72.332954,3610.1719,322119,21.39436,303.25214,292.7779,4.3200006,508.20157,-15.473612,-244.34209,17.248522,10282,0.053493597,5.8424726,0.03628865,17.639994,78.996155,4915.366,91887,27.13745,325.4721,314.99786,5.040001,188.09889,-189.35587,-70.28286,103.89948,1,284,29
"37",36,100,0.062070116,100157323,10591,360,2,4,10591,0.018183185,6.7043605,0.022273622,18.606785,66.97954,6472.577,355965,39.665977,345.2871,334.81287,4.680001,512.8048,-45.63902,-284.7875,57.76643,10591,0.04388693,7.5636463,0.03567758,21.885147,70.84767,8238.06,187711,48.094612,362.65283,352.1786,5.400001,313.71695,-236.99385,-79.17722,136.45319,1,309,0
"38",37,100,0.033229567,100628119,10894,360,2,4,10894,0.012359586,5.366977,0.018765654,13,75.73427,4147.84,335597,23.937119,313.24808,302.77383,4.680001,498.65146,25.419794,-286.4415,-10.044294,10894,0.02086998,4.7711563,0.024219068,15.4153595,64.392426,3278.006,157068,20.494741,296.3027,285.82846,5.400001,288.2673,-205.7371,-118.824394,119.352486,1,303,0
"39",38,100,0.052353453,99815932,11191,360,2,4,11191,0.010706269,4.460606,0.0164598,11.95532,70.631454,2865.169,267616,17.22327,286.61093,276.1367,4.3200006,447.01837,16.656544,-253.92729,12.995875,11191,0.041647185,4.5743966,0.03221406,13.355589,80.767204,3013.2153,72351,16.531029,290.2383,279.76407,4.680001,179.04543,-162.97961,-60.587704,83.948204,1,297,0
"40",39,100,0.019323893,136051605,11480,360,2,4,11480,0.008121022,4.211604,0.014725888,11,69.10698,2554.2158,314519,15.641211,278.33942,267.86517,4.3200006,497.19632,-2.5242703,-254.00087,15.420182,11480,0.011202872,2.831935,0.017163241,10.934736,66.048256,1154.8593,103086,7.215309,221.1882,210.71396,4.680001,229.37695,-195.25262,-47.62012,94.47802,1,289,20
"41",40,100,0.036446095,100280339,11781,360,2,4,11781,0.011460653,5.596937,0.0179389,16.25721,61.363705,4510.9014,393599,29.515038,319.28952,308.8153,4.680001,548.14734,-72.31652,-280.2731,69.56947,11781,0.024985444,6.0200386,0.027363813,19.608734,69.48511,5218.6846,208869,31.120337,329.78342,319.30917,5.040001,342.09528,-264.8535,-44.275726,120.471756,1,301,0
"42",41,100,0.050404273,99992429,12066,360,2,4,12066,0.016362041,5.2056975,0.019424245,12.916965,71.29659,3902.2976,238497,23.138998,308.85446,298.38022,4.3200006,401.29654,-38.403362,-261.3091,61.631847,12066,0.03404223,5.291254,0.029233448,17.200098,64.39491,4031.6213,118430,24.919624,311.20187,300.72766,4.680001,240.22484,-205.50803,-33.61997,115.44074,1,285,15
"43",42,100,0.07192627,100265638,12350,360,2,4,12350,0.01922591,6.8010144,0.023947233,26.122871,58.607555,6660.5474,346436,44.28032,347.34827,336.87402,4.680001,534.70154,-46.26548,-227.2179,10.060036,12350,0.052700363,6.2430716,0.03806751,27.146423,60.968838,5612.536,106499,35.43136,335.02194,324.5477,3.9600005,230.20074,-218.84085,-0.42820102,1.6012882,1,284,12
"44",43,100,0.04767233,99833233,12645,360,2,4,12645,0.010574089,4.742492,0.01712091,11.999969,74.445,3238.7378,306290,18.914486,295.43497,284.96072,4.3200006,487.68826,-73.27092,-240.3878,45.349007,12645,0.037098244,5.47907,0.03130897,23.646433,72.23858,4322.91,116526,25.066683,316.22464,305.7504,3.2400002,214.30157,-248.7689,60.0079,-28.124693,1,295,0
"45",44,100,0.035657488,100192884,12949,360,2,4,12949,0.013331034,5.9363704,0.019787902,15.16724,62.695564,5074.6313,380663,32.61348,327.76804,317.2938,4.680001,543.7701,42.777172,-279.3573,-5.673634,12949,0.022326453,5.5065236,0.026097268,14.836982,68.15014,4366.34,195568,26.378849,316.94437,306.47012,5.400001,348.98795,-200.1573,-118.4296,123.77629,1,304,4
"46",45,100,0.09775511,99934349,13266,360,2,4,13266,0.040571444,9.156113,0.032239832,32.42593,57.06343,12072.154,297553,79.91714,390.16666,379.6924,5.040001,450.51254,10.241023,-284.6331,37.395332,13266,0.057183668,7.488055,0.039000288,20.05122,58.991882,8074.2197,141198,51.8645,361.20645,350.7322,6.1200013,265.38205,-181.85036,-106.987206,134.83444,1,317,0
"47",46,100,0.061219122,100162775,13562,360,2,4,13562,0.012173946,4.6962624,0.017458225,12,66.1662,3175.9026,260877,19.782648,294.02435,283.5501,4.3200006,437.75052,-34.7966,-251.7134,38.795795,13562,0.049045175,5.1987786,0.034658525,14.341667,70.58635,3891.931,79354,22.716576,308.66293,298.1887,4.3200006,181.81534,-190.96432,-18.467293,74.81206,1,296,5
"48",47,100,0.072474465,135753796,13842,360,2,4,13842,0.01419529,5.5404444,0.018974125,15.810613,69.15464,4420.3,311392,26.737638,317.8287,307.35446,4.680001,452.67017,-73.2136,-309.22833,32.84788,13842,0.05827917,7.4117055,0.03705853,21.619846,70.663666,7910.4067,135733,45.995686,359.73065,349.2564,5.040001,214.94684,-248.07623,-72.076126,121.99868,1,280,25
"49",48,100,0.052296598,100142214,14131,360,2,4,14131,0.013600241,5.322599,0.018941633,12.87059,77.62763,4079.5283,299960,23.207802,312.0524,301.57816,4.3200006,476.50345,-56.61882,-251.42014,49.063103,14131,0.038696356,6.420444,0.033095073,19.9303,71.51156,5935.9824,153399,34.571236,339.0561,328.58185,5.040001,279.0698,-228.65063,-51.718697,120.942726,1,289,0
"50",49,100,0.10892187,100404014,14423,360,2,4,14423,0.017065004,5.273398,0.02036061,14.000178,76.17656,4004.4565,234659,22.912603,310.71512,300.24088,4.3200006,405.55063,-62.28446,-240.06058,68.372665,14423,0.09185687,7.4913335,0.0477155,22.491268,68.15628,8081.2915,87977,47.426678,361.26947,350.79523,5.040001,176.6996,-185.57509,-45.95015,110.10649,1,292,0
"51",50,100,0.022907853,100178982,14710,360,2,4,14710,0.005611937,3.2443147,0.012150992,8.866097,66.73614,1515.6832,270082,9.56401,240.76411,230.28989,4.3200006,456.347,41.418587,-242.06578,-1.5606147,14710,0.017295916,3.069989,0.020065287,11.44289,67.465416,1357.1759,78468,8.291552,232.81097,222.33673,4.680001,191.49434,-166.8607,-71.12024,86.83416,1,287,19
"52",51,100,0.0351617,99974947,15011,360,2,4,15011,0.007663364,4.0422497,0.014283568,12.283064,62.061104,2352.9287,307036,15.448657,272.42932,261.95508,4.3200006,494.53986,-5.1461196,-243.35735,29.39646,15011,0.027498337,5.4178886,0.028071962,17.902292,68.25606,4226.9067,153715,25.403849,314.60764,304.1334,5.040001,290.17188,-212.019,-74.614555,121.52774,1,301,0
"53",52,100,0.05212948,100638132,15310,360,2,4,15310,0.0114394715,4.7715955,0.017351257,14.857105,60.69006,3278.6096,286605,21.611464,296.31595,285.8417,4.680001,457.64395,-22.037462,-266.8022,47.11037,15310,0.04069001,6.3074183,0.03372951,20.49199,66.030846,5728.8276,140792,34.774384,336.49854,326.0243,5.400001,268.02014,-202.05188,-82.32144,125.00637,1,299,0
"54",53,100,0.0861307,100034823,15607,360,2,4,15607,0.013433567,4.835249,0.018525857,11,70.887955,3366.667,250616,20.10438,298.2242,287.74997,4.680001,414.72107,-13.590994,-272.5928,27.644081,15607,0.07269713,6.3173337,0.042684685,19.769197,67.28458,5746.8535,79052,34.111996,336.72473,326.2505,5.400001,164.10362,-166.7861,-82.836624,108.14641,1,297,0
"55",54,100,0.0666111,99760432,15899,360,2,4,15899,0.01821988,5.7466216,0.021685364,15,79.79305,4755.407,261001,26.563463,323.0901,312.61584,4.3200006,438.99756,32.110676,-249.9851,1.7718481,15899,0.048391223,5.2403255,0.03359183,16.898739,68.685165,3954.3855,81717,23.415064,309.80917,299.33493,5.040001,175.87726,-171.84248,-87.992775,97.76121,1,292,0
"56",55,100,0.030948645,130148820,16183,360,2,4,16183,0.005695801,4.138057,0.013523063,12.9974575,76.93073,2465.7864,432913,14.304957,275.80252,265.32828,5.040001,587.7018,-49.903275,-284.77747,38.281864,16183,0.025252843,6.4025974,0.026026819,17.272558,73.54819,5903.029,233757,34.152897,338.65527,328.18103,5.400001,319.12067,-312.71286,-118.34481,119.25246,1,284,5
"57",56,100,0.02657136,100705318,16464,360,2,4,16464,0.0066783344,4.4758406,0.014345643,10.474134,67.99333,2884.7734,431960,17.918013,287.1019,276.62766,4.680001,594.64636,44.458565,-271.0159,-6.6937675,16464,0.019893024,5.1824636,0.024915691,13.76465,65.678955,3867.542,194417,23.925732,308.21033,297.73608,5.400001,350.75076,-195.78914,-131.9239,108.56391,1,281,13
"58",57,100,0.040186495,100181272,16755,360,2,4,16755,0.0071501937,3.5760412,0.013597115,8,65.47014,1841.4823,257543,11.6938,254.78285,244.30861,4.3200006,444.49142,-7.817956,-240.07191,20.81513,16755,0.0330363,4.2328377,0.028408306,15.949627,67.82329,2580.036,78097,15.501026,279.0636,268.58936,5.040001,177.76997,-173.6008,-54.754974,103.824135,1,291,2
"59",58,100,0.027324539,100197530,17058,360,2,4,17058,0.00475256,3.087541,0.011309674,11.69552,58.436577,1372.7389,288842,9.544324,233.63193,223.15768,4.3200006,478.1327,-36.635315,-237.55643,32.912277,17058,0.02257198,3.848463,0.024357362,15.786004,59.123043,2132.736,94486,14.033412,265.35495,254.88072,4.680001,207.49677,-199.58423,-21.693466,94.836075,1,303,0
"60",59,100,0.064641975,100552235,17358,360,2,4,17358,0.014051663,5.416071,0.018871328,13,70.28657,4224.0703,300610,25.32238,314.5593,304.08505,4.3200006,475.09854,-4.0908628,-264.0077,30.830248,17358,0.05059031,7.290624,0.03758054,20.83532,73.21014,7654.061,151295,43.84267,357.35876,346.88452,5.040001,277.92252,-210.19293,-87.39917,120.74906,1,300,2
"61",60,100,0.019959526,100159768,17657,360,2,4,17657,0.0038899116,3.6216276,0.011645105,13.327259,60.396954,1888.731,485546,12.892598,256.60693,246.13268,5.400001,626.2132,-49.602837,-296.48184,33.949173,17657,0.016069615,5.0053616,0.023066182,14.953962,61.016285,3607.725,224506,23.477661,303.2033,292.72906,5.760001,360.24548,-253.88835,-106.39265,123.8656,1,299,0
"62",61,100,0.08798821,100406301,17947,360,2,4,17947,0.010462657,4.2655764,0.016406063,12,69.13058,2620.1003,250424,15.954218,280.17307,269.69882,4.3200006,431.73807,-63.19876,-233.7065,52.852062,17947,0.077525556,6.223468,0.042626493,23.12699,80.72383,5577.3438,71942,30.33026,334.56906,324.09482,2.88,139.49864,-203.67596,57.03238,-46.563766,1,290,0
"63",62,100,0.09057679,99721116,18227,360,2,4,18227,0.023106216,6.9051514,0.025201282,23.564407,62.573067,6866.081,297153,43.56907,349.53647,339.06223,4.680001,478.1081,-48.1103,-240.90202,36.758694,18227,0.06747057,7.376082,0.043388717,31.157206,75.21321,7834.548,116118,44.080936,359.03687,348.56262,3.9600005,216.80038,-245.92978,26.136484,10.79257,1,280,17
"64",63,100,0.05931838,134235197,18514,360,2,4,18514,0.012523204,4.843728,0.018487511,14.927906,72.78043,3378.4849,269778,19.910847,298.47653,288.0023,4.3200006,462.2742,-52.29418,-216.2675,56.531536,18514,0.046795174,7.200155,0.036000773,31.821362,71.60896,7465.281,159531,43.295063,355.5607,345.08646,3.2400002,262.32742,-271.30676,91.927925,-34.525036,1,287,0
"65",64,100,0.07754141,99890401,18795,360,2,4,18795,0.025918184,7.1714683,0.027164653,26.144007,60.520664,7405.9136,285742,47.83103,354.9858,344.51157,4.680001,476.96475,22.550434,-224.02477,-12.045044,18795,0.051623225,6.3378706,0.038882643,28.177565,61.904568,5784.2793,112048,36.212906,337.1921,326.71786,3.9600005,258.49802,-198.5125,-3.455285,-4.831565,1,281,10
"66",65,100,0.023523454,100392073,19080,360,2,4,19080,0.0075319675,3.7898881,0.014194338,10.665377,69.16704,2068.3083,274604,12.679918,263.1464,252.67215,4.3200006,461.20825,40.72209,-241.11522,-5.2815533,19080,0.015991487,3.046392,0.019781766,11.2815895,70.42462,1336.3926,83569,7.9817443,231.69987,221.22563,4.680001,200.00058,-178.35272,-52.099094,87.79738,1,285,19
"67",66,100,0.05100678,100347217,19388,360,2,4,19388,0.013953645,5.710937,0.019491253,16.013336,62.411522,4696.5317,336581,30.235249,322.19308,311.71887,4.680001,503.3391,-6.7214804,-278.26245,32.542347,19388,0.037053134,6.859339,0.03266352,20.563517,68.160904,6775.277,182853,40.500835,348.5779,338.1037,5.400001,312.2324,-227.94943,-88.15321,137.31964,1,308,0
"68",67,100,0.06036577,100013104,19693,360,2,4,19693,0.018245157,6.778076,0.02321259,18.878284,59.844627,6615.694,362600,43.446335,346.86176,336.3875,5.040001,526.3856,-34.6265,-277.06308,30.653555,19693,0.042120613,7.3261704,0.03644861,19.998093,65.83354,7728.88,183494,46.95707,358.05914,347.5849,5.760001,315.80872,-232.50598,-92.92779,115.47879,1,305,0
"69",68,100,0.053674508,100044716,19989,360,2,4,19989,0.018020138,5.375865,0.020756235,13.999998,73.53055,4161.589,230941,24.227654,313.48633,303.0121,4.3200006,401.43826,4.5697737,-254.82565,25.879368,19989,0.03565437,4.5056305,0.030443449,15.097069,65.71264,2923.3018,81990,17.843987,288.05713,277.5829,5.040001,191.02133,-165.21349,-62.932186,106.40296,1,296,0
