"","Id.Latido","Registro","Error","Time","Position","Frecuency","Channels","Order","C1_Position","C1_Error","C1_ErrorRMSE","C1_ErrorNRMSD","C1_ErrorAbsMax","C1_MDL","C1_FSS","C1_ESC","C1_VAR","C1_BIC","C1_AIC","C1_Sigma","C1_H0","C1_H1","C1_H2","C2_Position","C2_Error","C2_ErrorRMSE","C2_ErrorNRMSD","C2_ErrorAbsMax","C2_MDL","C2_FSS","C2_ESC","C2_VAR","C2_BIC","C2_AIC","C2_Sigma","C2_H0","C2_H1","C2_H2","Type"
"11",10,213,0.07943246,88386272,2047,360,2,3,2047,0.06232781,29.113234,0.0437793,83.9999,56.665443,122051.56,1958220,778.2362,552.465,543.9553,5.760001,1167.6923,-232.34714,-647.053,2047,0.017104644,15.763365,0.034046143,48.976543,57.4843,35781.65,2091926,232.5875,464.12042,455.61078,3.9600005,-1368.1932,150.13191,-402.0591,1
"12",11,213,0.10823332,61795797,2236,360,2,3,2236,0.09183315,33.1241,0.05151493,83.9999,54.212303,157997.66,1720486,1024.3118,571.05084,562.5412,5.760001,1077.2975,-38.442905,-632.8039,2236,0.016400164,15.912172,0.032673866,51.733723,59.54538,36460.402,2223173,232.21722,465.47342,456.96378,3.6000004,-1414.842,4.5217514,-430.0162,1
"13",12,213,0.122640446,61842274,2433,360,2,3,2433,0.10443452,34.91539,0.05438534,91.99566,53.97439,175548.16,1680940,1137.5222,578.6348,570.1252,6.1200013,978.75433,-160.50949,-722.26624,2433,0.018205922,15.1730385,0.032913316,57.010246,52.64006,33151.836,1820937,227.62157,458.62415,450.1145,3.6000004,-1269.0325,78.40146,-413.75665,1
"14",13,213,0.06463581,62017950,2632,360,2,3,2632,0.05275839,27.869677,0.041721072,85.99601,54.879314,111847.516,2119995,729.1976,546.1789,537.66925,6.1200013,1229.0719,-279.10925,-647.78613,2632,0.011877425,13.128682,0.028665245,54.99037,52.698555,24820.172,2089693,172.19194,437.78436,429.27472,4.3200006,-1376.0098,178.49747,-373.64322,1
"15",14,213,0.096783146,61897656,2832,360,2,3,2832,0.084416375,33.420906,0.052057486,90.999344,51.47385,160841.81,1905339,1077.2444,572.33545,563.82574,6.1200013,1168.572,-57.155323,-612.9196,2832,0.012366772,14.036015,0.029302744,48.951134,54.11943,28369.398,2294002,193.10417,447.40747,438.89783,3.9600005,-1451.6434,-17.500322,-397.5654,1
"16",15,213,0.11096993,62011889,3021,360,2,3,3021,0.100946106,33.973473,0.05461973,98.999245,55.42203,166204.33,1646466,1061.8441,574.6968,566.1871,6.1200013,990.99176,-191.19376,-679.44244,3021,0.010023825,12.825506,0.026281776,43.722954,54.54264,23687.08,2363078,161.23688,434.42,425.91037,3.6000004,-1446.8625,17.349154,-495.65994,1
"17",16,213,0.10024751,61353388,3219,360,2,3,3219,0.087463506,34.541313,0.05163126,97.99924,53.532063,171806.75,1964325,1123.2777,577.08374,568.57404,6.1200013,1132.0033,-113.124016,-705.8962,3219,0.012784003,12.836592,0.028846273,55.365017,54.09627,23728.043,1856073,161.42467,434.54443,426.0348,3.9600005,-1301.5475,80.641205,-363.06473,1
"18",17,213,0.097472474,61834066,3408,360,2,3,3408,0.085176714,34.13748,0.052600127,95.99625,53.58177,167812.95,1970174,1097.2634,575.39026,566.8806,6.4800014,1145.4443,-41.975964,-698.96783,3408,0.012295757,13.46566,0.029273175,55.181877,52.72156,26110.656,2123550,180.92581,441.4338,432.92416,3.9600005,-1390.7957,-7.1701074,-403.82565,1
"19",18,213,0.06532424,62045281,3603,360,2,3,3603,0.052597247,26.261145,0.041421365,77.99991,55.428772,99309.28,1888108,643.7109,537.6183,529.10864,5.760001,1193.1176,-168.02356,-580.54926,3603,0.012726993,14.688675,0.03016155,52.535454,55.04825,31069.033,2441192,208.97395,453.95233,445.44266,3.9600005,-1488.9188,11.3744755,-439.44638,1
"20",19,213,0.0762929,61759953,3806,360,2,3,3806,0.061849974,27.922396,0.044041634,85.99928,54.358658,112271.06,1815216,733.4103,546.45105,537.94135,6.1200013,1113.724,-225.19234,-641.7572,3806,0.014442925,14.286459,0.030723568,63.818336,51.70005,29390.818,2034963,205.527,449.95422,441.44455,3.9600005,-1345.6376,73.58647,-435.2199,1
"21",20,213,0.08196246,61654882,4007,360,2,3,4007,0.06824535,30.563175,0.04709272,82.999306,52.686302,134511.52,1970999,893.0921,559.46387,550.95416,6.1200013,1189.305,-70.482376,-645.8129,4007,0.013717108,14.727226,0.030939551,50.23125,56.123306,31232.334,2276889,207.09969,454.32977,445.82013,3.9600005,-1443.4347,-12.599197,-402.48422,1
"22",21,213,0.08347124,62289363,4200,360,2,3,4200,0.07048095,28.716084,0.046768866,76.999916,53.763126,118744.336,1684772,778.3681,550.4871,541.9774,5.760001,1108.7683,-111.64124,-569.3826,4200,0.012990289,14.953473,0.029728575,52.908714,53.467953,32199.316,2478722,220.68639,456.52515,448.0155,3.9600005,-1513.4794,-69.851395,-388.61777,1
"23",22,213,0.07550887,61996601,4401,360,2,3,4401,0.064036906,29.174713,0.04354435,76.99989,54.135994,122567.6,1914015,801.9644,552.7688,544.2591,5.760001,1144.8269,-214.9602,-659.2499,4401,0.011471962,11.640859,0.02604219,52.273563,52.321674,19513.383,1700963,136.17345,420.46432,411.95468,3.6000004,-1225.6,124.76086,-404.70892,1
"24",23,213,0.09202459,98036917,4592,360,2,3,4592,0.07653247,32.004593,0.04856539,93.99593,54.341137,147498.34,1927265,958.9811,566.0999,557.5902,6.1200013,1136.7682,-149.71149,-681.9905,4592,0.01549212,15.154059,0.032800995,47.60553,60.07409,33068.953,2134566,209.75696,458.4439,449.93427,3.9600005,-1395.1359,59.101048,-389.35855,1
"25",24,213,0.072612084,61514267,4785,360,2,3,4785,0.055800837,26.938236,0.042963695,85.99999,61.180367,104496.27,1872665,640.1711,541.284,532.7743,5.400001,1187.0992,-220.77603,-556.97516,4785,0.016811248,16.37487,0.03355506,58.213417,60.672287,38611.637,2296774,243.10135,469.60095,461.0913,3.6000004,-1428.5857,99.86851,-455.3371,1
"26",25,213,0.06206584,61936120,4976,360,2,3,4976,0.046331942,23.629454,0.03892826,67.999916,56.432686,80402.555,1735359,517.1673,522.4124,513.9027,5.760001,1156.8301,-133.50073,-546.6969,4976,0.0157339,17.219572,0.034716878,54.638184,56.511276,42697.965,2713756,281.01376,476.84396,468.33432,3.9600005,-1556.9243,-60.22388,-493.37347,1
"27",26,213,0.09203201,61923494,5172,360,2,3,5172,0.07484453,31.793062,0.047594406,73.19965,53.259167,145555.03,1944765,958.06195,565.145,556.6353,5.760001,1183.7684,-35.29448,-629.8064,5172,0.017187474,14.575896,0.03246302,54.26956,51.47536,30593.773,1780004,213.57074,452.84244,444.3328,6.8400016,-1291.0171,-106.05477,267.27966,1
"28",27,213,0.09997174,62021184,5374,360,2,3,5374,0.07788738,31.714508,0.048567392,84.99927,53.427856,144836.64,1859565,950.6492,564.78876,556.27905,6.1200013,1115.937,-117.51521,-674.98444,5374,0.022084361,17.54874,0.037984286,63.455242,52.88186,44345.992,2008027,302.0696,479.57068,471.06104,3.9600005,-1350.8291,-13.393849,-372.50998,1
"29",28,213,0.056913648,61697429,5571,360,2,3,5571,0.044496246,24.803926,0.038999885,77.999344,53.337128,88593.805,1991040,589.9416,529.3975,520.8879,6.1200013,1231.572,-158.41516,-600.4842,5571,0.012417401,14.363382,0.029986184,51.85983,55.275394,29708.172,2392463,199.40123,450.72748,442.21783,3.9600005,-1475.3838,-3.2129018,-431.26245,1
"30",29,213,0.13020991,62191507,5771,360,2,3,5771,0.11255475,35.443058,0.056708895,98.99921,54.25396,180894.28,1607167,1166.6809,580.7948,572.28516,6.1200013,942.04346,-184.5232,-710.47754,5771,0.017655157,16.284151,0.033506483,53.09864,53.723114,38184.996,2162824,258.8829,468.80096,460.29132,6.8400016,-1422.2488,-143.28604,285.16098,1
"31",30,213,0.06895791,62093835,5963,360,2,3,5963,0.05726368,28.483068,0.042639323,82.999245,54.616386,116825.06,2040125,762.3821,549.31384,540.8042,6.1200013,1184.6907,-261.46786,-671.8943,5963,0.011694231,12.551797,0.02740567,56.86773,52.439774,22686.855,1940004,157.99162,431.31366,422.80402,3.9600005,-1324.9727,122.00652,-383.2483,1
"32",31,213,0.09516473,61620265,6156,360,2,3,6156,0.07662171,31.21912,0.048177656,82.99991,54.24066,140347.22,1831690,913.4418,562.52167,554.012,5.760001,1138.4812,-96.073204,-621.2677,6156,0.018543018,16.779995,0.03525209,51.64642,56.1716,40545.83,2186582,266.86887,473.12024,464.6106,6.4800014,-1445.5641,-120.09902,204.83145,1
"33",32,213,0.077652186,61662934,6347,360,2,3,6347,0.059909504,25.241056,0.042854086,70.99851,58.037445,91743.98,1531376,577.64856,531.9132,523.40356,5.400001,1062.3358,-149.12448,-537.4352,6347,0.017742686,17.817675,0.03380963,55.095222,54.579437,45715.61,2576589,306.73846,481.76074,473.2511,6.4800014,-1559.4923,-182.46797,256.05005,1
"34",33,213,0.11321166,62452936,6543,360,2,3,6543,0.092897676,32.41674,0.054665666,92.99661,52.249302,151321.67,1628907,1002.0444,567.94244,559.4328,6.4800014,1041.7057,-124.87714,-613.873,6543,0.020313984,16.579975,0.036359593,62.00139,52.354687,39584.965,1948656,272.00403,471.39343,462.8838,3.9600005,-1334.6598,10.058081,-357.286,1
"35",34,213,0.093639396,61748166,6742,360,2,3,6742,0.07789502,31.239065,0.04966465,82.9993,54.2871,140526.6,1804051,913.80646,562.61365,554.10394,6.1200013,1111.4963,-122.24018,-642.77295,6742,0.015744371,15.177581,0.032639958,57.81358,53.796158,33171.69,2106892,225.33275,458.66727,450.1576,3.9600005,-1389.6488,-14.451415,-377.34302,1
"36",35,213,0.09785311,88612152,6941,360,2,3,6941,0.08565721,32.60735,0.05063253,83.99991,52.60476,153106.44,1787432,1011.8361,568.7867,560.277,5.760001,1129.5355,-37.39431,-597.5591,6941,0.012195901,13.893699,0.027955128,43.033356,54.589203,27797.02,2279210,188.1893,445.93994,437.4303,6.4800014,-1463.0591,-213.01064,255.92628,1
"37",36,213,0.101762906,61746152,7134,360,2,3,7134,0.08800009,32.152843,0.051775914,79.99977,52.30632,148867.98,1691680,986.4896,566.7654,558.25574,5.760001,1102.6892,-26.254189,-571.13885,7134,0.013762817,15.685488,0.030755859,48.122314,55.382286,35428.973,2574253,236.9197,463.40723,454.89758,6.4800014,-1549.8379,-300.4097,215.82547,1
"38",37,213,0.1299852,61834700,7333,360,2,3,7333,0.11118256,35.937046,0.056151636,94.99921,53.615944,185971.84,1672671,1207.8552,582.78796,574.27826,6.1200013,974.2462,-161.27519,-715.2158,7333,0.018802634,15.602323,0.03377126,52.88034,53.619144,35054.277,1864328,237.58801,462.64172,454.13205,6.4800014,-1328.1036,-126.38034,222.3551,1
"39",38,213,0.08392223,61419755,7522,360,2,3,7522,0.06961916,30.305992,0.046552982,88.9909,54.51311,132257.25,1899725,860.1852,558.247,549.7373,6.1200013,1128.6075,-202.88655,-672.718,7522,0.014303074,14.906793,0.031649243,59.424824,54.05237,31998.594,2237183,217.20045,456.07492,447.56525,3.9600005,-1430.4705,-12.002021,-398.4912,1
"40",39,213,0.07414631,61263665,7715,360,2,3,7715,0.06270812,26.802877,0.043230448,76.9999,56.44634,103448.766,1649687,660.98645,540.5586,532.0489,5.760001,1057.0293,-254.9456,-603.2659,7715,0.011438193,13.604483,0.026993021,59.52915,52.178368,26651.8,2330071,186.3597,442.91077,434.40112,3.6000004,-1448.0125,-16.740896,-454.31146,1
"41",40,213,0.09157009,61837855,7914,360,2,3,7914,0.07468935,31.784508,0.04867459,85.996056,52.22753,145476.7,1947757,968.831,565.10626,556.59656,6.4800014,1127.5286,-169.44899,-708.6934,7914,0.016880738,15.075965,0.033651706,60.825928,53.21936,32729,1938837,223.51968,457.69992,449.19028,3.9600005,-1323.156,15.454441,-393.86353,1
"42",41,213,0.103298925,62108225,8107,360,2,3,8107,0.08222111,31.804466,0.04992852,96.99924,55.399162,145659.47,1771558,935.0841,565.19666,556.68695,6.1200013,1056.5497,-199.16179,-685.5186,8107,0.021077814,17.67202,0.037361566,68.528725,53.64929,44971.242,2133582,303.8345,480.57877,472.0691,3.9600005,-1396.9031,-21.629683,-369.87006,1
"43",42,213,0.07224657,61636789,8302,360,2,3,8302,0.05660796,27.036251,0.042914685,83.99937,56.769157,105258.086,1859422,671.8349,541.807,533.2973,5.760001,1172.348,-199.15227,-583.1828,8302,0.015638608,16.154882,0.033104267,54.07502,56.51781,37581.156,2403101,247.35333,467.6533,459.14365,3.9600005,-1483.0673,-40.014015,-405.49988,1
"44",43,213,0.07941954,61890403,8497,360,2,3,8497,0.065998144,30.178827,0.047675874,83.999374,54.079834,131149.67,1987172,858.0372,557.6415,549.13184,6.1200013,1225.029,-12.817062,-595.95447,8497,0.013421398,14.951409,0.03108401,44.161255,53.448105,32190.43,2398441,220.49434,456.50528,447.9956,7.2000017,-1489.4573,-238.11182,301.77866,1
"45",44,213,0.09851935,62109318,8699,360,2,3,8699,0.073044434,29.50666,0.046248686,72.020676,52.468067,125372.59,1716388,833.0996,554.39795,545.8883,6.1200013,1066.2646,-108.31939,-665.1031,8699,0.025474915,19.781023,0.042448547,57.648956,57.03701,56345.598,2211807,364.83206,496.8134,488.30374,6.8400016,-1433.842,-250.33487,192.07112,1
"46",45,213,0.121130556,61861538,8898,360,2,3,8898,0.09910061,35.29792,0.053889956,88.99928,51.736702,179415.81,1810441,1193.0945,580.2039,571.6942,6.1200013,1084.74,-65.44329,-670.8807,8898,0.02202994,16.258165,0.03728937,53.120422,54.751858,38063.22,1727795,253.57166,468.57098,460.0613,6.8400016,-1270.1193,-179.57211,210.43417,1
"47",46,213,0.07987662,61693591,9095,360,2,3,9095,0.061836455,29.959019,0.04498351,92.99601,55.15293,129246.164,2090129,837.1648,556.58887,548.07916,6.1200013,1219.535,-160.9491,-669.1129,9095,0.018040162,16.74897,0.036174882,58.408985,55.1568,40396.035,2239228,269.12244,472.85376,464.34412,3.9600005,-1423.2559,-49.003307,-413.24683,1
"48",47,213,0.07059105,62163299,9284,360,2,3,9284,0.053524233,24.62386,0.0399738,68.99999,57.910057,87312.16,1631264,551.69135,528.3483,519.8387,5.400001,1096.4359,-92.27308,-577.29193,9284,0.017066818,16.645508,0.03349197,49.14456,55.91088,39898.5,2337782,263.87286,471.96146,463.4518,6.4800014,-1474.7421,-252.65955,243.27457,1
"49",48,213,0.07415009,91752475,9481,360,2,3,9481,0.04803667,24.416334,0.03900373,67.99635,54.02553,85846.664,1787107,566.1707,527.1296,518.61993,6.1200013,1141.5839,-169.4292,-607.7344,9481,0.026113426,18.838154,0.042428274,66.14786,53.59915,51102.15,1956930,343.65195,489.7806,481.27094,7.2000017,-1357.502,-132.6086,213.14616,1
"50",49,213,0.107817195,61278029,9681,360,2,3,9681,0.089287214,33.72368,0.053191923,88.99228,51.59492,163769.27,1834185,1093.7339,573.6341,565.12445,6.4800014,1106.2361,-96.76027,-661.2827,9681,0.018529981,15.885594,0.03594026,53.030342,53.974083,36338.703,1961076,245.32744,465.2327,456.72305,7.2000017,-1358.7787,-147.75623,237.95912,1
"51",50,213,0.067371175,62109946,9882,360,2,3,9882,0.050008025,27.793215,0.04093257,82.99991,55.110703,111234.65,2224336,724.2768,545.7833,537.2736,5.760001,1312.8641,-141.76494,-607.77606,9882,0.01736315,16.24104,0.034926966,58.421207,54.3761,37983.07,2187568,255.60301,468.41922,459.90955,3.9600005,-1411.9521,-27.609459,-393.97125,1
"52",51,213,0.11974735,61702480,10074,360,2,3,10074,0.10568836,33.636482,0.05460468,87.99927,52.010567,162923.47,1541546,1078.2881,573.2613,564.7516,6.1200013,956.05096,-78.48635,-677.07416,10074,0.014058988,13.764918,0.0287969,48.162323,53.767235,27284.11,1940688,185.93248,444.599,436.08936,6.4800014,-1330.6082,-293.3588,238.38097,1
"53",52,213,0.09216477,61916643,10273,360,2,3,10273,0.07253134,31.577337,0.04777207,76.9993,51.88604,143586.45,1979647,960.7431,564.16455,555.6549,6.1200013,1183.2994,-65.60382,-656.9317,10273,0.019633425,15.300268,0.034932118,54.244812,52.662403,33710.14,1716977,230.93933,459.8266,451.31696,6.8400016,-1265.71,-158.96692,236.59094,1
"54",53,213,0.09087545,62036996,10462,360,2,3,10462,0.074401006,29.520853,0.046198517,84.99973,55.090576,125493.22,1686714,810.0073,554.4672,545.9575,5.760001,1054.731,-196.33818,-640.48035,10462,0.016474439,14.385719,0.03189738,47.17507,57.284832,29800.646,1808902,194.28162,450.95126,442.4416,3.6000004,-1283.5288,-15.865801,-362.4959,1
"55",54,213,0.08135347,61892124,10656,360,2,3,10656,0.0634842,27.51644,0.043955974,81.999344,56.95821,109030.234,1717439,692.9139,544.3421,535.8324,5.760001,1100.9514,-137.03616,-614.4394,10656,0.017869271,16.876837,0.035014182,50.030952,55.539696,41015.18,2295291,272.1095,473.9489,465.43927,6.4800014,-1476.2522,-162.49203,220.34515,1
"56",55,213,0.08059623,61719755,10850,360,2,3,10850,0.061385844,26.745934,0.042521358,75.99924,54.70019,103009.68,1678069,670.55176,540.2523,531.7427,6.1200013,1023.7546,-267.3904,-674.8987,10850,0.019210385,14.548563,0.03344497,54.84165,51.98072,30479.139,1586597,210.7441,452.57214,444.0625,3.6000004,-1188.525,59.689877,-374.11627,1
"57",56,213,0.15757151,62321936,11042,360,2,3,11042,0.14185533,40.20012,0.06473449,116.99553,57.78548,232711.12,1640482,1442.7397,598.93054,590.42084,6.1200013,911.24347,-151.21284,-744.67523,11042,0.015716182,13.664055,0.03023021,46.86058,52.36728,26885.72,1710703,185.95021,443.53995,435.0303,6.4800014,-1262.919,-107.698135,277.9475,1
"58",57,213,0.06547964,62026895,11236,360,2,3,11236,0.048388276,26.651333,0.04100205,79.99935,54.241486,102282.266,2113782,672.83295,539.7421,531.2324,6.1200013,1277.9204,-95.358086,-607.72253,11236,0.017091367,16.356916,0.03579194,53.71168,54.009422,38527.02,2254180,260.5043,469.443,460.93335,3.9600005,-1416.4153,-73.53262,-451.67847,1
"59",58,213,0.0964771,61502297,11433,360,2,3,11433,0.07556616,30.044228,0.048225086,89.996124,53.00772,129982.41,1720114,857.76355,556.9978,548.48816,6.4800014,1037.2699,-207.14828,-686.5073,11433,0.020910943,17.085682,0.038831096,59.83231,55.057896,42036.56,2010266,279.39987,475.71994,467.2103,3.9600005,-1343.5402,-21.36762,-403.328,1
"60",59,213,0.10326272,61525798,11636,360,2,3,11636,0.081292585,32.92514,0.050888933,97.99627,51.961132,156105.34,1920290,1040.6057,570.18335,561.67365,6.4800014,1134.3533,-106.80062,-682.6571,11636,0.021970134,17.004183,0.038911175,58.27723,54.08972,41636.48,1895140,279.5443,475.0314,466.52176,6.8400016,-1341.7644,-125.21885,193.6298,1
"61",60,213,0.08896096,87942926,11827,360,2,3,11827,0.07393187,29.31281,0.047740735,88.99929,53.95976,123730.69,1673577,808.40784,553.4488,544.93915,6.1200013,1052.817,-153.65363,-646.3848,11827,0.015029091,14.677823,0.03190831,53.78949,52.389915,31023.14,2064206,214.75795,453.8459,445.33624,6.8400016,-1391.281,-181.3938,254.19604,1
"62",61,213,0.07097505,62054530,12021,360,2,3,12021,0.05467036,25.177412,0.041615557,75.999916,54.21801,91281.9,1669678,598.9227,531.5497,523.04,5.760001,1120.4768,-136.94164,-551.5207,12021,0.01630469,16.262453,0.033669677,55.248734,55.261887,38083.305,2335727,254.00992,468.60895,460.0993,3.9600005,-1463.7616,-64.071304,-388.51093,1
"63",62,213,0.10075823,61672749,12214,360,2,3,12214,0.07621907,29.969612,0.04764644,84.9999,55.22052,129337.586,1696919,833.2424,556.6398,548.13007,5.760001,1067.2025,-189.53746,-626.68604,12214,0.024539163,17.846289,0.039924584,66.40894,55.53468,45862.566,1868954,302.0772,481.99182,473.48218,3.9600005,-1303.4403,12.539029,-352.10425,1
"64",63,213,0.12289047,61733436,12409,360,2,3,12409,0.09862692,34.284977,0.055387683,96.98258,54.33793,169266.19,1716227,1094.0957,576.0111,567.5014,6.4800014,1015.2702,-92.084,-712.5365,12409,0.024263555,18.515734,0.04096401,58.840366,55.48066,49367.867,2034651,325.44266,487.29468,478.785,7.2000017,-1374.6174,-206.80264,230.09401,1
"65",64,213,0.0834447,62664345,12606,360,2,3,12606,0.07209934,29.140686,0.04692542,81.999306,53.22543,122281.86,1696019,805.89685,552.60077,544.09106,6.1200013,1073.6393,-152.7678,-630.63324,12606,0.011345357,12.362105,0.027229307,37.702026,53.987053,22006.316,1939676,150.36282,429.12082,420.61115,6.8400016,-1353.719,-129.98549,261.1871,1
"66",65,213,0.09486611,61862255,12808,360,2,3,12808,0.07330999,28.250778,0.04708463,75.84274,54.432705,114927.336,1567690,747.22864,548.1347,539.625,6.1200013,1016.09064,-145.94644,-631.6819,12808,0.021556122,18.62024,0.039366256,60.348297,53.892918,49926.715,2316127,336.14282,488.10513,479.5955,7.2000017,-1465.539,-250.60625,235.78203,1
"67",66,213,0.099824056,61763424,13005,360,2,3,13005,0.076986045,30.945621,0.048052207,80.999275,52.468292,137898.94,1791220,915.14636,561.2546,552.74493,6.1200013,1093.7845,-107.131,-667.4428,13005,0.02283801,16.292355,0.037977517,55.918224,54.45204,38223.473,1673678,255.306,468.87347,460.36383,6.4800014,-1265.0591,-83.56168,167.62564,1
"68",67,213,0.09964958,62022302,13203,360,2,3,13203,0.082031615,33.366962,0.05101982,94.99927,54.79141,160323,1954405,1035.7666,572.1028,563.59314,6.1200013,1150.9402,-87.84157,-679.4867,13203,0.01761796,15.880012,0.03521067,52.86473,57.56713,36313.168,2061145,235.68239,465.18207,456.67242,3.9600005,-1373.3578,-11.171086,-372.28354,1
"69",68,213,0.09960802,62412976,13391,360,2,3,13391,0.08038348,31.495522,0.048754677,84.9999,57.483704,142843.38,1777024,898.7095,563.791,555.2813,5.760001,1093.0677,-73.65421,-658.75494,13391,0.019224541,16.916994,0.0353912,47.9178,59.3918,41210.59,2143645,262.02795,474.29114,465.7815,3.6000004,-1394.2766,-19.439283,-397.55426,1
"70",69,213,0.070789926,61748775,13585,360,2,3,13585,0.057465423,25.052946,0.04034291,70.99997,60.64424,90381.62,1572800,556.01074,530.83606,522.32635,5.400001,1039.5522,-218.23451,-595.0829,13585,0.013324506,14.194859,0.02932822,48.745167,59.6164,29015.137,2177577,185.44809,449.02795,440.5183,3.6000004,-1404.0363,43.537426,-418.74637,1
"71",70,213,0.07894916,61759243,13781,360,2,3,13781,0.06578527,28.793293,0.044434093,80.99925,54.132774,119383.74,1814749,780.6674,550.8738,542.3641,6.1200013,1093.8795,-238.22366,-664.86316,13781,0.013163894,12.689813,0.029579982,45.38113,54.81749,23188.516,1761524,156.26768,432.8884,424.37875,3.9600005,-1259.9282,99.09007,-375.63004,1
"72",71,213,0.09854091,62103832,13978,360,2,3,13978,0.08291653,33.112644,0.050864276,103.99922,56.074852,157888.4,1904185,1006.4928,571.00104,562.4914,6.1200013,1099.6935,-235.62436,-693.8677,13978,0.015624379,14.218623,0.032611523,43.914703,60.341835,29112.373,1863266,184.14543,449.26883,440.7592,3.9600005,-1293.415,114.93601,-384.7351,1
"73",72,213,0.07747527,95600582,14173,360,2,3,14173,0.06521344,29.42671,0.04656125,80.99217,52.686787,124694.09,1912092,828.8278,554.00726,545.49756,6.4800014,1152.4824,-122.1238,-666.53436,14173,0.012261829,13.724595,0.030703792,44.514404,59.21025,27124.49,2212108,174.38474,444.17654,435.6669,3.9600005,-1405.3347,16.132107,-457.99274,1
