Id.Latido,Registro,Error,Time,Type,RR1,RR
92,205,0.205305,0.092,1,239,7
93,209,0.034463,0.093,1,245,0
94,114,0.526325,0.094,1,337,0
95,202,0.027208,0.095,8,177,502
96,101,0.270128,0.096,1,340,10
97,106,0.138307,0.097,1,360,0
98,118,0.112603,0.098,3,287,1
99,202,0.006283,0.099,1,245,0
100,201,0.011775,0.1,1,490,0
101,109,0.013913,0.101,2,261,12
102,233,0.04895,0.102,1,216,60
103,115,0.087275,0.103,1,384,0
104,221,0.051545,0.104,1,274,76
105,219,0.064855,0.105,1,286,136
106,116,0.017932,0.106,1,271,0
107,210,0.170781,0.107,5,282,0
108,108,0.06012,0.108,1,390,138
109,233,0.052249,0.109,1,260,0
110,102,0.239418,0.11,12,271,98
111,200,0.036304,0.111,1,265,0
112,215,0.111082,0.112,1,201,0
113,215,0.021497,0.113,1,212,4
114,106,0.296441,0.114,1,277,14
115,201,0.019502,0.115,1,314,0
116,208,0.246713,0.116,1,171,0
117,121,0.018317,0.117,1,375,5
118,116,0.042835,0.118,1,275,0
119,234,0.113329,0.119,1,246,0
120,230,0.228787,0.12,1,252,0
121,105,0.23801,0.121,1,256,8
122,121,0.008077,0.122,1,368,17
123,123,0.009886,0.123,1,425,4
124,113,0.153537,0.124,1,348,61
125,223,0.007235,0.125,1,249,11
126,109,0.013177,0.126,2,266,2
127,222,0.211259,0.127,1,185,0
128,112,0.20328,0.128,1,265,2
129,214,0.043539,0.129,2,314,0
130,108,0.044914,0.13,1,421,0
131,105,0.068471,0.131,1,250,8
132,217,0.207212,0.132,12,298,12
133,209,0.032924,0.133,1,216,10
134,203,0.290186,0.134,1,301,0
135,222,0.310775,0.135,1,295,0
136,205,0.186131,0.136,1,246,9
137,105,0.071544,0.137,1,265,0
138,103,0.018229,0.138,1,321,15
139,205,0.18023,0.139,1,255,0
140,208,0.756588,0.14,1,209,37
141,223,0.027551,0.141,1,253,0
142,207,0.06762,0.142,3,459,0
143,217,0.260395,0.143,12,325,0
144,223,0.009252,0.144,1,233,20
145,233,0.067538,0.145,1,279,0
146,112,0.317293,0.146,1,253,0
147,112,0.224125,0.147,1,246,0
148,207,0.086469,0.148,2,262,20
149,106,0.268972,0.149,1,422,0
150,112,0.217501,0.15,1,269,0
151,209,0.044297,0.151,1,238,0
152,102,0.248182,0.152,12,305,0
153,222,0.348215,0.153,1,307,0
154,200,0.052384,0.154,1,268,0
155,212,0.215101,0.155,3,227,4
156,215,0.029813,0.156,1,202,0
157,112,0.225453,0.157,1,265,0
158,118,0.106957,0.158,3,320,1
159,209,0.051917,0.159,8,156,110
160,234,0.088981,0.16,1,240,0
161,107,0.394966,0.161,12,321,0
162,214,0.061464,0.162,2,263,19
163,119,0.006456,0.163,5,196,212
164,232,0.255556,0.164,8,271,392
165,209,0.110236,0.165,1,240,0
166,208,0.062249,0.166,5,205,80
167,105,0.151377,0.167,1,264,0
168,203,0.09207,0.168,1,350,0
169,115,0.078919,0.169,1,347,0
170,112,0.262891,0.17,1,246,0
171,230,0.05235,0.171,1,259,11
172,105,0.338542,0.172,1,244,237
173,202,0.017155,0.173,1,398,0
174,207,0.111368,0.174,31,109,0
175,220,0.063014,0.175,1,328,17
176,202,0.03149,0.176,1,321,13
177,215,0.08113,0.177,1,176,19
178,212,0.221349,0.178,3,220,4
179,215,0.038198,0.179,1,191,0
180,123,0.014295,0.18,1,454,0
181,103,0.231585,0.181,1,321,0
182,230,0.096241,0.182,1,281,7
183,123,0.038365,0.183,1,489,0
184,208,0.199706,0.184,1,320,0
185,234,0.144416,0.185,1,240,0
186,103,0.024757,0.186,1,335,18
187,100,0.078505,0.187,1,282,4
188,203,0.048818,0.188,1,310,0
189,113,0.149395,0.189,1,398,0
190,118,0.091875,0.19,3,290,0
191,220,0.400915,0.191,1,312,12
192,203,0.03881,0.192,1,229,0
193,214,0.060721,0.193,2,243,5
194,231,0.136367,0.194,3,348,0
195,205,0.068264,0.195,1,236,3
196,232,0.208763,0.196,8,257,212
197,233,0.077322,0.197,1,287,0
198,101,0.296234,0.198,1,352,1
199,105,0.089893,0.199,1,272,0
200,212,0.169278,0.2,3,226,0
201,113,0.078502,0.201,1,335,0
202,100,0.021675,0.202,1,286,2
203,104,0.31888,0.203,12,287,14
204,111,0.111825,0.204,2,285,12
205,210,0.149649,0.205,1,265,2
206,215,0.019133,0.206,1,183,16
207,114,0.218588,0.207,1,342,0
208,102,0.227377,0.208,12,291,6
209,219,0.043252,0.209,1,304,0
210,101,0.354958,0.21,1,360,16
211,102,0.239646,0.211,12,314,0
212,208,0.035429,0.212,5,184,155
213,104,0.334987,0.213,12,306,0
214,103,0.011385,0.214,1,322,9
215,222,0.182097,0.215,1,175,158
216,118,0.087309,0.216,3,297,12
217,107,0.411634,0.217,12,304,0
218,121,0.020588,0.218,1,305,2
219,201,0.024425,0.219,1,204,123
220,203,0.039367,0.22,1,160,144
221,116,0.083965,0.221,1,269,0
222,100,0.079133,0.222,1,275,4
223,234,0.07528,0.223,1,240,0
224,200,0.047305,0.224,5,210,173
225,220,0.05498,0.225,1,310,12
226,114,0.133975,0.226,1,366,1
227,115,0.091475,0.227,1,328,1
228,118,0.093319,0.228,3,248,1
229,111,0.11141,0.229,2,295,8
230,214,0.037388,0.23,2,286,97
231,119,0.02301,0.231,5,193,399
232,104,0.185818,0.232,38,276,32
233,232,0.245525,0.233,3,902,0
234,219,0.067531,0.234,1,338,0
235,213,0.063823,0.235,1,195,28
236,117,0.016002,0.236,1,417,16
237,203,0.023794,0.237,5,135,187
238,107,0.185453,0.238,5,236,108
239,203,0.160031,0.239,1,159,108
240,113,0.047821,0.24,1,395,0
241,222,0.285903,0.241,1,276,77
242,223,0.00473,0.242,8,191,172
243,212,0.253432,0.243,3,216,0
244,215,0.014568,0.244,1,194,0
245,113,0.089319,0.245,1,384,6
246,210,0.044206,0.246,1,201,49
247,107,0.303956,0.247,12,320,0
248,107,0.350946,0.248,12,295,13
249,113,0.129736,0.249,1,373,14
250,107,0.343285,0.25,12,314,0
251,105,0.072894,0.251,1,254,0
252,213,0.037552,0.252,1,193,22
253,217,0.073665,0.253,5,259,118
254,217,0.036665,0.254,5,249,121
255,213,0.087647,0.255,6,197,0
256,115,0.084295,0.256,1,331,0
257,213,0.051668,0.257,1,193,4
258,200,0.04453,0.258,1,284,0
259,217,0.032299,0.259,1,288,0
260,213,0.056324,0.26,6,198,4
261,101,0.22175,0.261,1,312,0
262,107,0.354014,0.262,12,300,9
263,228,0.226194,0.263,1,315,119
264,122,0.107237,0.264,1,251,0
265,223,0.008075,0.265,1,252,0
266,217,0.194734,0.266,12,301,28
267,113,0.127272,0.267,1,355,0
268,109,0.010464,0.268,2,264,1
269,232,0.273167,0.269,8,271,0
270,210,0.064717,0.27,1,237,0
271,115,0.044674,0.271,1,300,0
272,102,0.235705,0.272,12,282,23
273,203,0.177971,0.273,1,142,103
274,200,0.290418,0.274,1,350,0
275,205,0.126769,0.275,1,230,4
276,217,0.23154,0.276,12,296,23
277,106,0.277218,0.277,1,294,7
278,212,0.210516,0.278,3,234,12
279,207,0.039957,0.279,2,338,14
280,124,0.621871,0.28,3,434,0
281,223,0.013542,0.281,1,246,0
282,203,0.115036,0.282,1,232,30
283,112,0.307839,0.283,1,241,8
284,228,0.078782,0.284,1,389,0
285,217,0.177875,0.285,12,286,17
286,203,0.034204,0.286,5,100,217
287,205,0.223409,0.287,1,244,0
288,205,0.092108,0.288,1,238,14
289,105,0.043564,0.289,1,258,6
290,109,0.013514,0.29,2,247,20
291,213,0.063033,0.291,1,195,22
292,210,0.157835,0.292,4,168,247
293,205,0.094314,0.293,1,239,0
294,111,0.098439,0.294,2,311,0
295,200,0.159872,0.295,1,272,0
296,121,0.018754,0.296,1,355,0
297,220,0.093187,0.297,1,312,0
298,213,0.049735,0.298,1,196,19
299,212,0.181343,0.299,3,257,0
300,203,0.021985,0.3,1,277,0
301,112,0.314257,0.301,1,253,15
302,233,0.059776,0.302,1,213,0
303,101,0.308135,0.303,1,383,0
304,102,0.226446,0.304,12,304,0
305,208,0.045037,0.305,6,204,81
306,213,0.028966,0.306,1,206,0
307,200,0.260147,0.307,1,267,0
308,119,0.04737,0.308,1,327,0
309,222,0.239052,0.309,1,296,0
310,111,0.140643,0.31,2,315,0
311,215,0.060099,0.311,1,194,0
312,121,0.012842,0.312,1,375,0
313,101,0.402302,0.313,1,338,0
314,220,0.045816,0.314,1,329,16
315,210,0.055054,0.315,1,229,95
316,115,0.059979,0.316,1,310,60
317,215,0.023264,0.317,1,202,0
318,223,0.039659,0.318,5,177,93
319,104,0.626624,0.319,12,310,0
320,111,0.111533,0.32,2,317,0
321,106,0.291477,0.321,1,378,18
322,119,0.053276,0.322,1,457,0
323,201,0.100071,0.323,4,198,519
324,223,0.006426,0.324,1,272,0
325,208,0.044729,0.325,5,209,31
326,214,0.060098,0.326,2,271,108
327,104,0.012145,0.327,38,295,18
328,205,0.055066,0.328,1,235,11
329,217,0.218315,0.329,12,309,19
330,106,0.303284,0.33,1,380,9
331,217,0.229618,0.331,12,330,0
332,207,0.009837,0.332,31,90,12
333,119,0.025138,0.333,1,324,20
334,232,0.180729,0.334,8,273,1331
335,201,0.010465,0.335,1,228,0
336,231,0.128207,0.336,3,377,0
337,106,0.110971,0.337,5,190,524
338,104,0.473826,0.338,12,285,7
339,234,0.097195,0.339,1,206,84
340,234,0.128152,0.34,1,246,0
341,201,0.017145,0.341,1,425,0
342,106,0.294349,0.342,1,329,0
343,210,0.041524,0.343,1,211,44
344,205,0.165874,0.344,1,233,1
345,228,0.14929,0.345,1,307,54
346,212,0.064881,0.346,3,232,0
347,202,0.013824,0.347,1,413,0
348,220,0.059,0.348,1,315,2
349,122,0.049792,0.349,1,266,14
350,223,0.013361,0.35,1,340,0
351,209,0.099072,0.351,1,217,9
352,213,0.03729,0.352,1,208,0
353,228,0.07728,0.353,1,437,0
354,205,0.095414,0.354,1,241,0
355,203,0.147784,0.355,1,241,27
356,124,0.216584,0.356,3,387,5
357,207,0.023221,0.357,2,354,9
358,221,0.040201,0.358,1,367,0
359,118,0.100591,0.359,3,300,5
360,223,0.010398,0.36,1,267,0
361,108,0.067762,0.361,1,368,19
362,112,0.268622,0.362,1,261,4
363,112,0.234242,0.363,1,267,0
364,108,0.08644,0.364,1,333,66
365,234,0.126209,0.365,1,238,9
366,202,0.027955,0.366,8,179,524
367,209,0.174274,0.367,1,192,77
368,208,0.343066,0.368,1,301,0
369,119,0.020895,0.369,1,316,14
370,123,0.038592,0.37,1,495,0
371,116,0.029827,0.371,1,280,0
372,231,0.137191,0.372,3,354,0
373,102,0.244329,0.373,12,282,23
374,203,0.351282,0.374,1,124,89
375,213,0.045946,0.375,1,199,1
376,103,0.525622,0.376,1,333,0
377,208,0.127391,0.377,1,266,0
378,214,0.053348,0.378,2,293,2
379,108,0.060296,0.379,1,383,0
380,232,0.21759,0.38,3,436,439
381,222,0.052809,0.381,11,358,0
382,220,0.052591,0.382,1,363,0
383,104,0.432363,0.383,12,277,23
384,234,0.126194,0.384,1,246,0
385,217,0.220839,0.385,12,312,13
386,108,0.068134,0.386,1,423,0
387,124,0.530829,0.387,3,404,0
388,119,0.023521,0.388,1,300,147
389,222,0.091357,0.389,1,156,231
390,210,0.062115,0.39,1,262,14
391,208,0.051827,0.391,5,188,121
392,117,0.027972,0.392,1,446,0
393,100,0.077402,0.393,1,283,2
394,122,0.062551,0.394,1,263,0
395,223,0.011565,0.395,1,249,9
396,217,0.211506,0.396,12,308,0
397,111,0.066136,0.397,2,301,0
398,210,0.079903,0.398,1,229,26
399,103,0.019851,0.399,1,282,2
400,205,0.059793,0.4,1,241,0
401,217,0.194669,0.401,12,295,11
402,122,0.097884,0.402,1,261,0
403,119,0.07118,0.403,1,442,0
404,212,0.270748,0.404,3,208,2
405,112,0.280991,0.405,1,265,0
406,122,0.059936,0.406,1,263,6
407,104,0.436797,0.407,12,285,4
408,100,0.04209,0.408,1,288,0
409,222,0.040585,0.409,8,155,360
410,200,0.052114,0.41,1,234,1
411,123,0.022237,0.411,1,409,0
412,214,0.023919,0.412,2,331,0
413,200,0.07497,0.413,1,251,19
414,203,0.197253,0.414,1,122,202
415,200,0.041637,0.415,1,324,0
416,102,0.209861,0.416,12,296,0
417,118,0.060175,0.417,3,312,0
418,200,0.071503,0.418,1,201,37
419,213,0.050991,0.419,1,187,22
420,109,0.009826,0.42,2,249,11
421,209,0.189698,0.421,1,245,7
422,107,0.350003,0.422,12,300,15
423,114,0.252255,0.423,1,289,12
424,105,0.118393,0.424,1,261,1
425,210,0.057463,0.425,1,250,3
426,122,0.059419,0.426,1,259,0
427,111,0.108045,0.427,2,328,0
428,205,0.134472,0.428,1,266,0
429,107,0.344817,0.429,12,315,0
430,100,0.07462,0.43,1,291,0
431,105,0.198461,0.431,1,241,2
432,105,0.177781,0.432,1,266,0
433,230,0.058122,0.433,1,257,0
434,223,0.051232,0.434,5,183,241
435,119,0.064228,0.435,1,466,0
436,106,0.157158,0.436,5,192,226
437,115,0.149674,0.437,1,330,16
438,112,0.207585,0.438,1,257,8
439,215,0.016111,0.439,1,190,0
440,228,0.102763,0.44,1,320,15
441,108,0.039232,0.441,1,332,8
442,201,0.011488,0.442,1,585,0
443,210,0.130111,0.443,5,198,107
444,233,0.051614,0.444,1,261,0
445,209,0.266119,0.445,1,232,5
446,220,0.033541,0.446,1,341,40
447,107,0.371583,0.447,12,306,0
448,234,0.140538,0.448,1,239,0
449,231,0.154249,0.449,1,617,0
450,231,0.038673,0.45,5,153,326
451,230,0.059693,0.451,1,262,2
452,205,0.097792,0.452,1,234,0
453,219,0.060316,0.453,1,356,0
454,103,0.037285,0.454,1,331,0
455,213,0.046831,0.455,1,202,0
456,212,0.173545,0.456,3,240,8
457,217,0.203281,0.457,12,305,23
458,234,0.124036,0.458,1,230,0
459,230,0.092033,0.459,1,285,21
460,200,0.044095,0.46,5,201,95
461,103,0.064439,0.461,1,295,28
462,109,0.132971,0.462,2,-649658,1299846
463,212,0.236442,0.463,3,209,9
464,109,0.015461,0.464,2,252,0
465,223,0.017486,0.465,1,236,6
466,222,0.082719,0.466,1,152,58
467,221,0.051834,0.467,1,259,61
468,113,0.120982,0.468,1,335,35
469,103,0.013181,0.469,1,333,0
470,107,0.366691,0.47,12,316,0
471,203,0.230932,0.471,1,336,0
472,208,0.547611,0.472,1,272,0
473,207,0.052504,0.473,2,348,17
474,111,0.143417,0.474,2,290,1
475,201,0.221923,0.475,5,304,366
476,220,0.057061,0.476,1,332,3
477,200,0.0267,0.477,1,321,0
478,212,0.209729,0.478,3,239,0
479,106,0.176821,0.479,1,362,7
480,205,0.099774,0.48,1,269,0
481,111,0.117022,0.481,2,297,0
482,102,0.280344,0.482,12,293,18
483,109,0.011716,0.483,2,249,14
484,104,0.496412,0.484,12,289,7
485,214,0.044816,0.485,2,308,0
486,213,0.066253,0.486,1,195,6
487,124,0.342992,0.487,3,404,0
488,202,0.024601,0.488,1,415,0
489,107,0.400355,0.489,12,312,1
490,200,0.090243,0.49,1,265,0
491,217,0.073043,0.491,5,244,121
492,214,0.047325,0.492,2,283,0
493,215,0.021778,0.493,1,224,0
494,232,0.20224,0.494,3,486,266
495,228,0.138374,0.495,5,193,370
496,118,0.104003,0.496,3,302,8
497,112,0.285787,0.497,1,255,2
498,223,0.014145,0.498,1,263,0
499,114,0.394368,0.499,1,344,0
500,208,0.065913,0.5,5,196,51
501,114,0.273034,0.501,1,425,129
502,111,0.082587,0.502,2,306,0
503,111,0.274475,0.503,2,308,0
504,112,0.317496,0.504,1,257,0
505,222,0.143372,0.505,1,146,16
506,210,0.030559,0.506,1,247,0
507,217,0.044986,0.507,1,252,88
508,114,0.131792,0.508,1,348,0
509,116,0.035365,0.509,1,278,0
510,232,0.207866,0.51,8,257,11
511,108,0.049948,0.511,1,360,40
512,217,0.177927,0.512,12,298,2
513,118,0.098652,0.513,3,304,0
514,208,0.15512,0.514,1,317,0
515,203,0.08194,0.515,1,229,0
516,207,0.044581,0.516,2,360,6
517,115,0.0554,0.517,1,293,18
518,114,0.094187,0.518,5,231,497
519,215,0.047147,0.519,1,182,9
520,106,0.46032,0.52,1,353,0
521,113,0.059087,0.521,1,352,43
522,119,0.030563,0.522,1,331,0
523,213,0.092868,0.523,5,175,80
524,210,0.065179,0.524,1,264,0
525,222,0.231607,0.525,1,172,0
526,209,0.121042,0.526,1,195,0
527,223,0.00973,0.527,1,320,0
528,115,0.087954,0.528,1,330,50
529,104,0.458995,0.529,12,282,1
530,222,0.244834,0.53,1,234,72
531,233,0.072375,0.531,1,205,3
532,222,0.239911,0.532,1,345,0
533,118,0.075721,0.533,8,215,185
534,231,0.081836,0.534,1,572,51
535,214,0.057792,0.535,2,268,174
536,208,0.061653,0.536,5,194,288
537,212,0.374937,0.537,1,269,0
538,118,0.063003,0.538,3,274,24
539,101,0.115336,0.539,1,377,0
540,101,0.086145,0.54,1,366,0
541,213,0.077278,0.541,5,172,79
542,105,0.122315,0.542,1,245,0
543,112,0.365521,0.543,1,265,0
544,118,0.197504,0.544,3,249,0
545,122,0.091646,0.545,1,246,9
546,119,0.04003,0.546,1,343,0
547,118,0.100099,0.547,3,307,14
548,109,0.01248,0.548,2,267,0
549,233,0.058203,0.549,1,281,0
550,209,0.08457,0.55,1,237,5
551,201,0.007311,0.551,1,149,100
552,233,0.071615,0.552,1,212,62
553,122,0.143029,0.553,1,266,1
554,104,0.637928,0.554,12,290,14
555,212,0.183474,0.555,3,236,1
556,215,0.038296,0.556,1,183,12
557,112,0.202419,0.557,1,259,0
558,223,0.016693,0.558,1,247,7
559,205,0.131166,0.559,1,267,3
560,210,0.247997,0.56,1,254,0
561,112,0.260762,0.561,1,255,0
562,119,0.031999,0.562,1,456,0
563,111,0.199518,0.563,2,283,20
564,217,0.041833,0.564,1,281,26
565,234,0.086158,0.565,1,241,8
566,122,0.065079,0.566,1,291,0
567,212,0.176361,0.567,3,239,0
568,119,0.023123,0.568,1,335,121
569,222,0.031301,0.569,11,493,0
570,122,0.146958,0.57,1,237,3
571,117,0.040142,0.571,1,414,20
572,212,0.170662,0.572,3,262,0
573,108,0.062489,0.573,1,400,0
574,209,0.047776,0.574,1,215,27
575,112,0.346685,0.575,1,248,6
576,115,0.042415,0.576,1,434,0
577,233,0.063802,0.577,5,166,109
578,101,0.29089,0.578,1,345,0
579,205,0.251952,0.579,1,234,5
580,121,0.010523,0.58,1,347,30
581,231,0.102502,0.581,1,592,27
582,228,0.058251,0.582,1,558,0
583,111,0.112599,0.583,2,299,13
584,200,0.06051,0.584,1,428,0
585,209,0.030435,0.585,1,227,0
586,209,0.034122,0.586,1,217,0
587,234,0.100448,0.587,1,226,16
588,200,0.174248,0.588,1,230,0
589,219,0.084909,0.589,1,305,0
590,116,0.021079,0.59,1,273,68
591,118,0.10593,0.591,3,304,165
592,123,0.048852,0.592,1,508,0
593,107,0.358226,0.593,12,316,0
594,228,0.12326,0.594,1,307,103
595,210,0.216083,0.595,1,267,0
596,230,0.067076,0.596,1,312,0
597,111,0.081673,0.597,2,320,0
598,115,0.085908,0.598,1,308,0
599,207,0.035085,0.599,2,337,0
600,217,0.234695,0.6,12,298,20
601,212,0.171634,0.601,1,263,0
602,116,0.016947,0.602,1,276,3
603,115,0.114941,0.603,1,312,0
604,220,0.044231,0.604,1,332,0
605,220,0.094552,0.605,1,305,8
606,231,0.173689,0.606,3,336,0
607,209,0.213776,0.607,1,234,0
608,101,0.43084,0.608,1,343,24
609,108,0.058028,0.609,1,380,0
610,208,0.047474,0.61,6,210,37
611,102,0.193642,0.611,12,305,0
612,118,0.068291,0.612,3,278,1
613,220,0.039289,0.613,1,331,5
614,100,0.025738,0.614,1,295,0
615,121,0.066785,0.615,1,338,0
616,118,0.111427,0.616,3,256,8
617,213,0.048838,0.617,1,189,16
618,104,0.404964,0.618,12,300,0
619,212,0.146524,0.619,3,229,10
620,105,0.385511,0.62,1,268,0
621,112,0.368218,0.621,1,262,0
622,109,0.018362,0.622,2,242,2
623,202,0.016398,0.623,1,241,65
624,208,0.135168,0.624,1,189,28
625,103,0.019092,0.625,1,319,0
626,119,0.053889,0.626,1,466,0
627,123,0.024541,0.627,1,416,83
628,109,0.011549,0.628,2,263,4
629,213,0.057064,0.629,1,198,1
630,112,0.314524,0.63,1,257,15
631,209,0.090889,0.631,1,243,0
632,201,0.089117,0.632,4,171,685
633,215,0.017428,0.633,1,198,8
634,115,0.070274,0.634,1,364,0
635,221,0.134605,0.635,1,255,0
636,223,0.015855,0.636,1,305,0
637,124,0.567233,0.637,3,409,0
638,202,0.028706,0.638,1,188,84
639,105,0.050458,0.639,5,161,301
640,202,0.010219,0.64,1,258,0
641,116,0.036289,0.641,1,263,9
642,116,0.029833,0.642,1,272,0
643,104,0.330421,0.643,12,293,0
644,228,0.127609,0.644,1,350,0
645,109,0.01297,0.645,2,252,0
646,104,0.43205,0.646,12,298,0
647,219,0.051736,0.647,1,339,0
648,105,0.11896,0.648,1,277,75
649,116,0.057089,0.649,1,271,0
650,223,0.011135,0.65,1,247,3
651,118,0.114598,0.651,3,293,2
652,210,0.081414,0.652,1,249,0
653,201,0.013689,0.653,1,230,0
654,212,0.285853,0.654,1,244,0
655,114,0.120579,0.655,1,423,0
656,208,0.096038,0.656,1,235,21
657,203,0.2084,0.657,1,-649778,1300150
658,200,0.026963,0.658,1,307,0
659,209,0.271773,0.659,1,248,0
660,209,0.060353,0.66,1,207,55
661,207,0.0241,0.661,2,358,8
662,104,0.892311,0.662,38,263,61
663,233,0.047289,0.663,1,215,84
664,209,0.116941,0.664,1,246,1
665,222,0.340981,0.665,1,280,0
666,232,0.243432,0.666,8,277,0
667,222,0.292011,0.667,1,342,0
668,212,0.159284,0.668,1,240,9
669,209,0.031777,0.669,1,219,11
670,221,0.052536,0.67,5,175,174
671,109,0.013171,0.671,2,250,16
672,221,0.050061,0.672,1,256,134
673,124,0.477512,0.673,3,401,14
674,214,0.038144,0.674,2,296,29
675,124,0.281611,0.675,3,408,28
676,100,0.049952,0.676,1,267,9
677,217,0.181711,0.677,38,283,12
678,200,0.071288,0.678,1,233,0
679,209,0.044885,0.679,1,207,12
680,232,0.236058,0.68,8,278,0
681,108,0.05751,0.681,1,379,0
682,124,0.157115,0.682,3,349,27
683,234,0.133884,0.683,1,240,0
684,112,0.377075,0.684,1,255,14
685,112,0.237161,0.685,1,254,7
686,103,0.033505,0.686,1,283,0
687,118,0.09447,0.687,3,256,9
688,234,0.098653,0.688,1,246,0
689,200,0.490901,0.689,1,286,0
690,219,0.061007,0.69,1,264,53
691,113,0.146772,0.691,1,352,0
692,220,0.099834,0.692,1,305,18
693,107,0.278723,0.693,12,300,5
694,231,0.168945,0.694,3,339,0
695,213,0.061487,0.695,1,210,0
696,209,0.076741,0.696,1,224,13
697,101,0.100443,0.697,1,381,0
698,202,0.018733,0.698,1,407,0
699,215,0.131021,0.699,1,204,0
700,221,0.103554,0.7,1,311,0
701,122,0.088494,0.701,1,267,0
702,108,0.083655,0.702,1,459,0
703,205,0.229631,0.703,1,233,2
704,213,0.062842,0.704,1,208,0
705,105,0.081612,0.705,1,262,0
706,221,0.071363,0.706,5,169,447
707,122,0.075657,0.707,1,278,7
708,116,0.021724,0.708,1,281,0
709,103,0.017706,0.709,1,301,9
710,228,0.071316,0.71,1,394,0
711,116,0.038986,0.711,1,263,9
712,217,0.174889,0.712,12,281,45
713,200,0.054646,0.713,1,267,0
714,230,0.058686,0.714,1,280,0
715,213,0.065829,0.715,6,216,0
716,222,0.099242,0.716,1,442,0
717,228,0.119492,0.717,1,290,30
718,221,0.052434,0.718,1,336,53
719,105,0.101168,0.719,1,266,0
720,231,0.083503,0.72,1,582,46
721,215,0.024769,0.721,1,185,6
722,116,0.028858,0.722,1,270,1
723,221,0.084451,0.723,1,390,0
724,207,0.099673,0.724,2,335,22
725,219,0.045083,0.725,1,343,0
726,104,0.143142,0.726,1,281,2
727,217,0.253409,0.727,12,312,12
728,118,0.106715,0.728,3,271,10
729,214,0.041844,0.729,2,275,0
730,100,0.074068,0.73,1,279,0
731,209,0.077706,0.731,1,196,1
732,108,0.059389,0.732,1,382,16
733,231,0.167299,0.733,3,341,18
