"","Id.Latido","Registro","Error","Time","Position","Frecuency","Channels","Order","C1_Position","C1_Error","C1_ErrorRMSE","C1_ErrorNRMSD","C1_ErrorAbsMax","C1_MDL","C1_FSS","C1_ESC","C1_VAR","C1_BIC","C1_AIC","C1_Sigma","C1_H0","C1_H1","C1_H2","C1_H3","C1_H4","C1_H5","C2_Position","C2_Error","C2_ErrorRMSE","C2_ErrorNRMSD","C2_ErrorAbsMax","C2_MDL","C2_FSS","C2_ESC","C2_VAR","C2_BIC","C2_AIC","C2_Sigma","C2_H0","C2_H1","C2_H2","C2_H3","C2_H4","C2_H5","Type"
"11",10,208,0.015433496,194130784,2242,360,2,6,2242,0.010072653,13.652686,0.03740462,43.09732,63.656677,26841.002,2664740,186.75706,455.8668,441.6801,8.640001,1394.5725,450.17395,478.86554,350.11618,319.09457,191.55925,2242,0.0053608427,5.9436855,0.023127181,20.30766,65.494965,5087.145,948945,35.5623,336.3273,322.14066,8.640001,-963.1646,-24.357677,-43.486942,-67.21746,-60.265697,-74.41289,5
"12",11,208,0.13156033,193413595,2558,360,2,6,2558,0.04686047,13.226177,0.037681416,31.126146,98.01613,25190.174,537557,130.71996,451.67978,437.4931,4.680001,634.2625,10.838102,-329.25897,-27.935165,-5.1513433,27.244066,2558,0.08469985,2.5764997,0.054819144,8,56.81451,955.9225,11286,6.570741,216.12944,201.94276,3.9600005,-85.99595,36.090744,-13.409084,-35.01332,-8.163302,-12.643372,1
"13",12,208,0.050567802,241464232,2747,360,2,6,2747,0.036802188,21.695356,0.051902767,56.714874,71.813866,67779.14,1841715,473.9139,503.35623,489.16956,11.879998,1270.6448,231.53203,-68.5312,-91.54091,-188.58537,-239.06052,2747,0.0137656145,9.796625,0.033550087,27.620104,71.504776,13820.236,1003968,96.593346,394.20154,380.01486,11.879998,-971.86597,125.811516,111.48295,-41.505146,59.066536,110.255005,5
"14",13,208,0.029053707,193675081,2930,360,2,6,2930,0.01624683,17.405333,0.040477518,67.76911,63.17363,43624.164,2685088,298.6423,491.21863,477.03195,7.2000017,1452.3789,278.34634,490.86884,274.4939,332.46848,166.57811,2930,0.0128068775,8.8543005,0.032314964,25.338877,68.85963,11289.403,881511,78.77173,384.0549,369.86826,11.879998,-909.55115,56.83248,165.44609,-53.032154,17.181501,96.06222,5
"15",14,208,0.15744466,193830998,3201,360,2,6,3201,0.032776948,11.675265,0.034339014,30.999924,91.30722,19628.902,598863,105.71826,433.7193,419.53265,4.680001,723.3352,-53.646633,-229.89282,-6.6870933,-14.078327,6.9793983,3201,0.12466771,3.782506,0.06521562,11.870213,55.924835,2060.2585,16526,14.231526,270.27347,256.08682,10.08,-83.56926,16.075693,78.87538,5.564293,14.198558,27.74179,1
"16",15,208,0.03882829,193981435,3411,360,2,6,3411,0.032644715,22.051352,0.054990903,94.57189,60.623306,70021.74,2144964,479.50717,525.2796,511.09293,7.920002,1255.7649,358.1266,435.30917,273.51855,265.8037,186.50362,3411,0.0061835744,7.4590597,0.025989756,31.371708,64.95825,8011.81,1295660,55.974762,369.18872,355.00204,7.920002,-1099.2185,17.94534,-248.56897,-42.574368,-94.61081,-80.589714,5
"17",16,208,0.033643667,193680219,3606,360,2,6,3606,0.013729992,16.273886,0.037758436,48.35579,70.96667,38136.867,2777632,266.66852,467.81134,453.6247,11.879998,1628.2797,199.28033,4.073181,-46.596104,-144.36928,-159.55417,3606,0.019913675,9.871189,0.04045569,27.913132,68.192566,14031.414,704612,98.12153,398.02628,383.8396,12.239998,-801.5561,152.2758,98.70541,-56.403725,65.083916,87.980064,5
"18",17,208,0.2688596,194255328,3886,360,2,6,3886,0.1049288,21.510826,0.058453333,56.999638,75.36383,66631.05,635012,384.07346,521.7154,507.52872,5.760001,611.24744,-96.891975,-428.69656,1.747493,22.477821,-32.869457,3886,0.1639308,4.9167166,0.08194528,15.335603,58.018536,3481.0706,21235,24.298983,301.76657,287.5799,11.159999,-11.420671,35.291565,115.536476,32.31249,26.694931,35.673615,1
"19",18,208,0.029959958,193665607,4097,360,2,6,4097,0.020512348,17.40752,0.037924882,52.669117,66.90495,43635.137,2127262,283.8938,491.2369,477.05023,7.560002,1315.5292,-461.32214,-67.90648,-343.86868,116.638985,-61.067913,4097,0.009447609,8.814203,0.029878655,25.42157,68.62112,11187.387,1184150,78.04574,385.02805,370.84137,13.319997,-873.0444,598.5407,177.31999,-134.64742,38.92157,37.65636,6
"20",19,208,0.025270594,225849390,4262,360,2,6,4262,0.01592653,16.4529,0.044228226,60.665634,62.629578,38980.5,2447520,268.74017,483.04926,468.8626,8.280002,1324.8717,454.06232,486.23868,329.09805,267.97415,174.7504,4262,0.009344064,7.5960374,0.029556565,29.163193,64.22682,8308.77,889203,57.50636,371.782,357.59534,8.280002,-923.8468,-61.41563,-81.24618,-80.200806,-66.150475,-78.87316,5
"21",20,208,0.17212042,193653488,4565,360,2,6,4565,0.041418653,12.413834,0.036618978,31.99623,93.173485,22190.871,535770,117.93141,442.55212,428.36545,4.3200006,673.114,-30.91469,-241.67192,-29.954866,-14.837895,4.272483,4565,0.13070177,3.4575531,0.06402876,10.697751,57.59234,1721.473,13171,11.518888,258.3976,244.21095,8.640001,-74.50655,32.693523,57.567112,4.9109406,13.762998,36.082184,1
"22",21,208,0.038032237,193731045,4766,360,2,6,4766,0.02756125,22.45551,0.045734234,72.41983,61.575756,72611.984,2634568,506.56976,525.3513,511.16464,12.239998,1318.441,-791.5521,-410.56458,-168.3221,2.2943602,14.620709,4766,0.010470987,8.251697,0.029261336,37.62789,80.3736,9805.032,936400,68.083984,359.64636,345.45972,13.319997,-716.26025,631.8729,57.404922,32.386333,97.105225,-23.001656,6
"23",22,208,0.03073598,193977492,4944,360,2,6,4944,0.019694168,18.673416,0.044566624,78.48475,63.842953,50212.29,2549602,338.2292,501.34396,487.15732,7.560002,1422.566,207.09868,523.0394,209.99431,317.49924,119.71737,4944,0.011041812,8.375157,0.030678231,27.507355,69.721054,10100.63,914762,70.4913,375.33188,361.14523,12.239998,-929.14636,36.5373,156.62012,-77.32204,7.6108646,97.19464,5
"24",23,208,0.23401842,194237722,5196,360,2,6,5196,0.10540826,20.780499,0.058701973,54.99997,79.91307,62183.39,589929,348.16028,516.7414,502.55475,5.400001,623.01575,34.244476,-368.5142,-51.03624,3.483464,-2.2143888,5196,0.12861016,6.4671636,0.064671636,21.56744,56.30081,6022.685,46829,41.811245,346.03513,331.84845,11.159999,-120.40634,24.584743,150.34601,49.31667,-0.42841545,25.845469,1
"25",24,208,0.012468078,193159690,5414,360,2,6,5414,0.008845329,14.746064,0.028970657,40.588226,64.686844,31312.281,3539979,215.93544,467.305,453.11835,8.640001,1717.9636,-604.4531,65.13246,-374.9277,211.3626,-49.175407,5414,0.003622749,6.514958,0.02023279,32.325676,71.52422,6112.0337,1687126,40.42404,349.09888,334.9122,9.000001,-1056.7084,636.6236,-270.84644,255.14897,-117.95625,81.971176,6
"26",25,208,0.010105332,193824674,5568,360,2,6,5568,0.005483918,9.813433,0.02562254,45.497467,67.212524,13867.698,2528794,94.68064,408.69678,394.5101,7.560002,1421.5276,282.80148,504.13092,263.5063,269.7185,133.70732,5568,0.004621414,4.921949,0.021778535,21.249647,68.16104,3488.4836,754852,23.71242,309.31342,295.12674,7.920002,-840.133,47.941612,-156.8142,-64.93369,-99.06723,-67.97052,5
"27",26,208,0.09823924,193390052,5899,360,2,6,5899,0.039805364,14.046971,0.037558746,39.999737,83.72782,28413.705,713816,158.93498,460.34985,446.16318,5.040001,771.969,-63.275448,-291.8505,-14.538672,8.5604105,-1.0324986,5899,0.05843388,3.4387717,0.04912531,10.967487,69.41628,1702.8217,29141,10.442825,257.6997,243.51303,6.8400016,-155.09985,-1.0523665,44.051876,-13.18021,12.48966,33.329056,1
"28",27,208,0.04436606,220290276,6105,360,2,6,6105,0.031498376,21.390995,0.05230072,63.496708,67.77782,65890.76,2091878,460.74487,507.5198,493.33316,12.959997,1395.0656,189.47345,6.5090957,-67.35856,-127.76201,-151.58153,6105,0.012867687,10.647936,0.033068124,52.58523,66.75135,16326.509,1268799,108.276474,420.45502,406.26837,7.560002,-1087.8613,126.64186,-198.18498,20.918446,-86.51754,-76.10236,5
"29",28,208,0.040911064,193609786,6304,360,2,6,6304,0.030221157,22.934847,0.054219496,68.71513,65.80955,75745.04,2506358,528.4906,520.9698,506.7831,12.239998,1461.6564,481.23663,73.63347,-27.490376,-109.12125,-210.9488,6304,0.010689905,10.728577,0.030829243,35.14736,69.25593,16574.74,1550504,115.5434,411.92603,397.73938,12.239998,-1221.003,-48.38887,176.75513,-9.346153,3.7188523,96.93044,5
"30",29,208,0.1981038,193029424,6579,360,2,6,6579,0.014094486,7.904886,0.022393445,23.117558,96.331024,8998.159,638417,47.98411,377.56052,363.37387,4.680001,751.57074,-22.11783,-246.72183,5.9313626,35.690746,43.47918,6579,0.18400931,6.5575876,0.07368076,15.950506,63.767708,6192.2812,33652,38.3485,350.65292,336.46628,6.8400016,-98.75779,48.68116,97.46311,-51.365826,25.051296,50.711823,1
"31",30,208,0.03728109,193618179,6776,360,2,6,6776,0.028807668,18.25996,0.03260707,69.99946,82.45863,48013.367,1666687,272.64258,498.1216,483.93494,4.3200006,1260.816,-90.60213,-125.89797,-70.33017,-2.737968,-1.888785,6776,0.0084734205,5.6246924,0.020909637,20.015036,67.553696,4555.7515,537652,30.453959,328.5317,314.34503,8.280002,-686.2575,120.69622,177.53323,-92.054726,-43.46825,75.482216,6
"32",31,208,0.02030819,194238381,6941,360,2,6,6941,0.0038586245,10.232497,0.023631634,32.343254,68.13864,15077.375,3907448,103.47838,414.69952,400.51288,7.920002,1836.0839,212.5596,560.0765,209.02614,332.84717,88.430885,6941,0.016449565,15.91858,0.04535208,56.288635,62.27836,36489.773,2218282,255.0093,476.86087,462.67422,10.44,-1451.8219,42.67206,-146.1242,-59.017693,-212.97122,44.63871,5
"33",32,208,0.3106,193595001,7169,360,2,6,7169,0.016921135,8.77274,0.023903925,27,96.07735,11082.379,654943,58.98557,392.56073,378.37408,4.3200006,765.5057,48.515423,-228.2673,-35.932835,34.394012,30.462421,7169,0.29367888,6.365175,0.08266461,25,55.459084,5834.2246,19866,38.35477,346.36447,332.1778,3.9600005,-103.1392,46.60216,19.542994,-25.532766,-10.321555,-9.051862,1
"34",33,208,0.04905491,193255976,7349,360,2,6,7349,0.007014858,5.6681437,0.016194696,18.000265,70.256096,4626.411,659516,30.243202,329.66333,315.47668,5.040001,760.89453,42.803883,-238.3963,0.7248878,116.1895,61.34757,7349,0.04204005,8.997798,0.06426998,41.389862,67.94124,11658.294,277314,81.50524,380.29294,366.10626,14.039996,339.02005,202.64305,285.23953,145.43225,-77.23506,-34.343605,1
"35",34,208,0.061260518,239020312,7547,360,2,6,7547,0.053789105,27.37965,0.051272754,99.42773,66.16405,107948.92,2006892,683.4843,556.4542,542.2676,7.560002,1259.9073,-395.78644,-259.77426,-268.17706,78.600494,-96.693954,7547,0.007471411,8.3912,0.020770296,25.466248,65.264496,10139.362,1357088,70.71633,384.8965,370.70987,9.360001,-910.6657,687.9162,145.46727,66.44777,73.39273,115.954384,6
"36",35,208,0.23252812,193538907,7750,360,2,6,7750,0.094454475,18.564926,0.05558361,51.550728,74.466675,49630.535,525444,288.6594,500.50674,486.32007,6.1200013,526.40936,-79.66856,-435.04785,32.618473,18.805063,-40.929672,7750,0.13807365,7.8544307,0.11723031,27.693863,56.69873,8883.659,64340,62.12261,371.5032,357.31656,12.5999975,-142.72334,-74.781136,-135.42198,-105.2764,1.4856616,8.350522,1
"37",36,208,0.38189572,193985198,7951,360,2,6,7951,0.13862513,22.980326,0.06160945,62.960686,69.27097,76045.73,548571,454.43262,531.2312,517.04456,5.760001,486.98758,-142.2917,-456.628,-22.900177,46.82525,-62.412613,7951,0.24327059,7.6339254,0.10905608,21.951153,55.037174,8391.862,34496,55.971455,372.53796,358.3513,7.2000017,-81.53592,4.571677,-85.855446,-107.1778,19.712141,-13.723106,1
"38",37,208,0.061129082,193741132,8147,360,2,6,8147,0.0010757705,2.7957237,0.00683551,8.574334,85.93743,1125.5142,1046240,6.771754,227.88837,213.70169,5.040001,989.8121,-38.53741,-212.32445,8.318632,134.5904,25.22038,8147,0.06005331,2.6848617,0.081359446,7.5327764,68.98095,1038.0215,17285,7.2528605,202.72545,188.53877,11.519999,-119.89222,-4.0482135,0.47739127,-7.4566417,-26.101063,-33.45667,1
"39",38,208,0.048435904,193787936,8317,360,2,6,8317,0.042416893,22.159344,0.050362144,69.2357,65.800934,70709.26,1667007,492.7209,514.6411,500.45444,11.879998,1225.095,108.0046,-165.91483,-127.64043,-73.50292,-185.88448,8317,0.0060190097,6.305894,0.022930523,30.348476,67.116974,5726.0586,951329,38.992203,345.0161,330.82947,7.560002,-927.5849,210.59221,-161.14174,19.762163,-118.68275,-19.93277,5
"40",39,208,0.09315992,193933317,8532,360,2,6,8532,0.0010365663,2.0317416,0.0062515126,7.058659,71.96722,594.4283,573459,4.1143126,181.9239,167.73724,3.6000004,686.6284,-316.74106,9.772412,-27.290447,5.4148674,14.541607,8532,0.09212335,3.1074617,0.06093062,7.4269567,69.76905,1390.5099,15094,8.382697,243.11136,228.9247,5.760001,-34.945755,-1.4715694,-108.378044,26.801943,-0.58456165,-3.9537737,1
"41",40,208,0.1189199,193623518,8727,360,2,6,8727,0.011712433,6.467874,0.020797024,23,62.838676,6024.009,514326,42.015438,348.66928,334.48264,4.3200006,671.97345,-180.32762,-141.55542,51.978428,12.421611,36.625652,8727,0.10720747,4.584363,0.06279949,13.733379,56.52671,3026.3596,28229,20.650642,299.10406,284.9174,7.560002,120.738655,37.41662,-35.89126,27.658857,82.8312,17.624207,1
"42",41,208,0.152805,229258496,8922,360,2,6,8922,0.10142748,20.839523,0.05725144,55.000515,83.209564,62537.14,616570,343.83597,517.14984,502.9632,5.040001,643.8067,57.457996,-365.65085,-43.24211,-14.268491,21.694147,8922,0.051377516,1.5853128,0.05871529,5.848486,58.018135,361.90323,7044,2.5204844,145.85358,131.66692,9.000001,67.48773,2.7784457,6.2935247,9.633518,44.262287,5.312315,1
"43",42,208,0.038583566,193740421,9087,360,2,6,9087,0.023382725,20.411139,0.04010047,66.773415,74.59709,59992.496,2565676,419.09378,493.5178,479.33112,11.879998,1539.308,34.706154,-174.82831,-226.22049,-138.53316,-184.6016,9087,0.015200839,8.484357,0.033271987,25.129353,67.95412,10365.741,681919,72.33584,378.5855,364.39883,11.879998,-769.7737,220.329,142.13367,-54.787727,26.748922,80.85561,5
"44",43,208,0.1772794,192944045,9294,360,2,6,9294,0.15443236,24.011381,0.0657846,61.539448,81.48104,83022.68,537599,456.57956,537.5513,523.3646,5.040001,508.58685,16.32535,-434.9602,-77.005936,-10.341927,20.542133,9294,0.022847036,1.0975183,0.023859095,3.5906608,70.41149,173.4547,7592,1.086641,93.24268,79.05602,5.760001,-19.912188,39.30992,-64.72978,-20.423264,10.771456,27.45364,1
"45",44,208,0.16420773,193754568,9472,360,2,6,9472,0.11337601,17.205942,0.05514725,42.53099,97.63661,42630.4,376009,218.53824,489.55994,475.3733,4.3200006,477.30475,-84.778656,-310.66034,35.895393,12.054455,-20.68465,9472,0.050831717,2.274619,0.04291734,6.7934713,63.117004,745.04047,14657,4.87287,198.18428,183.99762,5.760001,98.79192,15.592354,-17.452885,-6.906119,59.637978,-0.09615148,1
"46",45,208,0.17287758,193344785,9649,360,2,6,9649,0.036971956,13.304605,0.035197366,34.043205,94.95939,25489.799,689436,134.59369,452.53113,438.34445,4.680001,740.5823,81.47969,-326.3748,-42.00396,-5.7434597,22.962885,9649,0.13590562,2.6693833,0.07214549,8.814463,54.669647,1026.0874,7550,7.0999026,221.10365,206.91699,9.000001,55.31693,-16.234549,-13.885943,28.556957,46.71162,3.1773224,1
"47",46,208,0.030655783,193874039,9824,360,2,6,9824,0.023538923,20.59547,0.042117525,56.63034,72.34675,61080.965,2594892,426.44833,497.66095,483.4743,11.879998,1550.7936,185.13698,-141.9347,-106.50312,-118.07982,-221.68517,9824,0.0071168607,7.037242,0.025405206,21.485474,72.65526,7131.2793,1002026,49.792698,348.61774,334.43106,11.879998,-971.8079,180.937,95.127625,-41.324554,37.33298,74.80194,5
"48",47,208,0.0780013,193735406,10035,360,2,6,10035,0.04442126,14.099742,0.03862943,37.837685,81.04782,28627.592,644457,162.39432,460.8898,446.70312,5.400001,676.7969,-203.3781,-326.44882,75.038734,26.89578,-59.074158,10035,0.03358004,2.191015,0.026719695,6.3759594,83.30299,691.2787,20586,3.891255,192.79181,178.60515,5.400001,62.753696,34.420753,-119.89552,18.308634,2.8757143,7.31409,1
"49",48,208,0.013860882,193158464,10233,360,2,6,10233,0.0040528644,3.6529708,0.011274601,10.699631,92.753555,1921.5643,474125,10.691095,266.40112,252.21446,5.400001,530.55133,-341.94504,-139.54535,214.2166,-7.7433467,-91.49179,10233,0.009808018,0.92874146,0.0154790245,3.0000117,65.59664,124.20874,12664,0.8439796,69.198074,55.011414,5.400001,89.68896,10.378793,-51.95182,36.537395,18.588724,2.9067082,1
"50",49,208,0.2124489,232419136,10423,360,2,6,10423,0.040056307,10.756477,0.032595385,26.999065,90.55806,16661.06,415941,89.7435,421.91644,407.72977,5.040001,476.52747,-277.73688,-266.39716,148.0927,-3.3108354,-46.41047,10423,0.17239259,4.348759,0.07629402,11.28293,66.734634,2723.286,15797,16.485836,291.5075,277.32083,6.4800014,-17.426994,32.898678,-105.1142,21.094381,1.455855,13.842156,1
"51",50,208,0.02135962,194409021,10595,360,2,6,10595,0.01856498,18.365053,0.03717622,71.13742,65.82525,48567.62,2616088,339.61374,491.04123,476.85458,10.44,1464.3163,289.36017,-295.44562,-353.09824,-316.08365,-166.41539,10595,0.0027946406,4.2294426,0.01590016,19.424067,88.491554,2575.8984,921728,17.980633,257.51492,243.32825,11.519999,-939.4631,89.04654,140.12901,71.30357,49.64607,38.035946,5
"52",51,208,0.19341438,194107347,10791,360,2,6,10791,0.02440327,9.896395,0.028194856,27,95.09183,14103.162,577921,74.947754,409.9158,395.72916,4.3200006,668.75995,-268.7955,-187.63097,95.263435,-4.4375315,5.186539,10791,0.1690111,5.7359242,0.10822499,19.22654,57.436516,4737.719,28032,33.108143,323.6264,309.43973,10.799999,82.22902,38.54298,42.748775,28.882772,105.51921,35.371426,1
"53",52,208,0.22605848,193837234,10973,360,2,6,10973,0.07848657,16.451958,0.046606112,41.999996,97.22464,38976.04,496595,201.30148,483.10727,468.9206,4.3200006,597.3683,-6.543236,-315.03113,-38.118244,-2.3427305,4.9170313,10973,0.1475719,3.579401,0.0662852,9.118841,55.59175,1844.944,12502,12.544548,263.4541,249.26744,7.920002,-7.247155,57.295254,-32.51726,16.72078,59.3184,49.66043,1
"54",53,208,0.12024145,193442876,11155,360,2,6,11155,0.034234837,13.307906,0.03253767,34.295944,92.72612,25502.453,744927,136.27867,452.56686,438.3802,4.680001,766.0918,-28.416855,-360.57422,28.664858,24.765263,-16.478796,11155,0.08600661,3.163137,0.11715322,14.545198,73.08895,1440.7827,16752,10.060352,220.4355,206.24883,11.879998,73.83762,36.834084,70.23562,47.2144,33.2519,15.314734,1
"55",54,208,0.044515386,193648173,11324,360,2,6,11324,0.02902262,18.615698,0.050449047,55.55475,64.87771,49902.363,1719430,346.02512,493.56116,479.37448,11.159999,1229.9043,317.10718,60.436398,-24.32943,-74.889595,-215.53075,11324,0.015492766,9.665485,0.03427477,31.174164,71.772316,13452.71,868322,93.34818,392.8069,378.62024,11.159999,-907.32825,80.66942,61.22035,23.34698,54.592945,133.58052,5
"56",55,208,0.17558406,193586381,11526,360,2,6,11526,0.07686844,17.092371,0.046573218,43.5846,93.476326,42069.48,547292,220.90007,488.6063,474.41965,4.680001,603.7661,28.698927,-369.08392,-57.404037,-2.2804961,18.490335,11526,0.098715626,8.148239,0.085770935,24.636942,56.36612,9560.707,96851,65.606674,381.9267,367.74002,7.560002,-228.78322,45.243065,-154.11761,-93.883095,-17.017548,6.7621336,1
"57",56,208,0.21831352,227241144,11697,360,2,6,11697,0.15490049,25.83541,0.070781946,64.000015,83.20674,96115.445,620498,523.60077,548.09467,533.908,5.400001,571.70795,4.2635427,-443.98996,-8.961101,6.399686,16.319044,11697,0.063413024,9.277319,0.07481709,31.568062,57.64116,12393.886,195447,85.44623,400.5133,386.32663,9.000001,-411.57004,-8.17411,-89.67622,10.523813,-33.79947,-65.58546,1
"58",57,208,0.16394778,193429049,11888,360,2,6,11888,0.040150736,15.385602,0.036286797,45,87.07477,34087.21,848981,187.01038,473.4575,459.2708,4.3200006,861.4946,-26.699898,-267.34326,-14.059812,-17.569971,5.389918,11888,0.123797044,3.1734123,0.058766894,14.774661,57.591885,1450.1586,11714,9.708323,246.13316,231.94649,7.560002,-58.877163,47.189556,45.06719,14.005216,-15.318946,45.91953,1
"59",58,208,0.04740592,193305849,12055,360,2,6,12055,0.029687297,19.14455,0.047623258,53.720654,67.39109,52777.99,1777797,367.3947,493.1478,478.96112,11.879998,1280.7362,194.96382,-45.074417,-82.93996,-67.78512,-182.25914,12055,0.017718624,9.496486,0.035302922,35.246437,71.60367,12986.387,732923,90.59665,388.99136,374.8047,11.879998,-790.3401,250.65002,151.42108,12.167354,38.798733,88.836586,5
"60",59,208,0.077928126,193550905,12273,360,2,6,12273,0.041191485,12.971256,0.03563532,33.999947,95.91881,24228.502,588192,127.14751,448.87723,434.69055,4.3200006,707.1037,-12.190815,-232.25435,-98.24497,-14.745608,2.7951586,12273,0.036736637,7.7315845,0.08053734,29.635431,80.64619,8607.945,234315,59.98398,342.86798,328.68134,11.879998,-350.48352,-187.76161,-173.27162,-177.09338,-73.332405,-29.175667,1
"61",60,208,0.21104056,193636477,12471,360,2,6,12471,0.1468393,23.911837,0.06623778,66.99063,79.55563,82335.734,560720,458.35114,536.95306,522.7664,4.3200006,630.4626,-59.179527,-264.85464,-84.09399,-13.070382,-2.8832657,12471,0.06420125,6.056391,0.056077693,20.633995,69.61248,5281.901,82271,36.929802,320.13995,305.95328,10.44,27.669683,149.0129,110.920746,116.11011,138.48251,95.16439,1
"62",61,208,0.19835472,193830108,12680,360,2,6,12680,0.03639678,12.232177,0.03416809,34.01859,96.18405,21546.166,591980,113.165436,440.42932,426.24268,4.3200006,714.3532,-9.936742,-235.60374,-58.656185,-11.980372,30.682604,12680,0.16195795,4.493913,0.07367071,15.68359,55.15315,2908.117,17956,20.33439,292.78006,278.59338,11.519999,-93.06198,15.072012,51.920715,-41.962234,26.45534,31.681377,1
"63",62,208,0.042442646,193156607,12894,360,2,6,12894,0.02737368,11.750715,0.030922934,38.990696,78.99786,19883.42,726370,115.68862,434.64688,420.46024,5.040001,775.9944,-70.81175,-314.5417,-16.36193,9.89156,1.7543805,12894,0.015068966,3.003894,0.036191493,10.652481,62.94906,1299.3668,86228,9.066508,236.02713,221.84047,10.08,-276.80615,-56.192184,17.52931,-30.144695,-62.208164,-7.9736614,1
