Id.Latido,Registro,Error,Time,Type,C1_BIC,C2_BIC,RR1,RR2
55,121,0.021974,1404.712849,1,501.9114,332.80508,357,12
58,116,0.079343,4695.359981,1,298.3622,348.53296,256,2
61,233,0.061625,5526.475395,1,467.55927,268.53165,294,0
63,231,0.097049,2665.167416,1,485.5428,467.10742,609,0
64,209,0.220091,1705.658184,1,414.9108,259.26706,222,1
66,215,0.023621,3566.412361,1,512.67255,240.8666,213,0
68,121,0.011399,7986.571258,1,356.08646,86.803925,375,0
69,122,0.101207,6622.973632,1,216.92375,295.87555,269,0
73,121,0.014049,6364.660786,1,422.99036,312.1897,378,0
74,205,0.110713,5383.36807,1,190.35747,322.3723,234,0
75,234,0.165267,5283.197098,1,331.53073,260.58755,234,14
76,101,0.073359,8439.836797,1,502.38666,372.63028,354,7
77,103,0.018038,52.150022,1,322.43677,73.148544,314,0
80,208,0.275006,1449.170523,1,363.0961,329.57956,177,0
81,221,0.035243,4809.914023,1,352.17636,320.5526,231,82
82,213,0.052002,83.59932,1,328.21915,206.07558,194,6
83,122,0.069732,5417.614581,1,515.25116,445.67743,254,4
84,223,0.016729,49.505411,1,421.2204,274.94644,257,9
85,108,0.065408,8837.500574,1,403.97876,263.3696,372,24
86,209,0.121007,947.934943,1,285.66696,528.3418,237,10
89,219,0.042808,1538.532581,1,312.13562,316.47964,520,0
90,223,0.010939,536.034018,1,415.75104,416.29993,245,12
91,119,0.102043,8425.655566,1,388.07037,234.2624,415,0
92,205,0.205305,2741.434921,1,465.22446,432.49985,239,7
93,209,0.034463,7692.32132,1,303.32373,284.62515,245,0
94,114,0.526325,1666.787041,1,243.36775,239.03967,337,0
96,101,0.270128,371.220996,1,427.78333,380.2451,340,10
97,106,0.138307,7496.455382,1,358.56097,233.27237,360,0
99,202,0.006283,5007.179704,1,555.39496,244.93002,245,0
100,201,0.011775,1255.727885,1,298.29218,220.2619,490,0
102,233,0.04895,6937.692582,1,217.81796,257.68448,216,60
103,115,0.087275,6826.212225,1,484.19186,371.38235,384,0
104,221,0.051545,4856.204675,1,460.6762,303.64725,274,76
105,219,0.064855,3147.434839,1,354.7043,229.7225,286,136
106,116,0.017932,1737.202328,1,409.4211,465.13715,271,0
108,108,0.06012,5635.421643,1,488.472,215.99207,390,138
109,233,0.052249,577.857316,1,425.10748,359.62357,260,0
111,200,0.036304,498.449037,1,486.66705,414.55453,265,0
112,215,0.111082,184.912631,1,388.29272,219.44135,201,0
113,215,0.021497,8802.336443,1,353.74677,297.76065,212,4
114,106,0.296441,1498.747661,1,345.60443,122.424835,277,14
115,201,0.019502,8850.622562,1,511.01746,369.14307,314,0
116,208,0.246713,8517.317614,1,285.7801,293.0331,171,0
117,121,0.018317,1516.476456,1,457.36804,176.55885,375,5
118,116,0.042835,7246.526743,1,204.59271,360.50757,275,0
119,234,0.113329,2203.964908,1,455.77393,359.76544,246,0
120,230,0.228787,1718.529744,1,501.6979,294.0143,252,0
121,105,0.23801,8431.039797,1,436.35834,547.18616,256,8
122,121,0.008077,4302.372884,1,393.30496,255.21796,368,17
123,123,0.009886,3745.435034,1,233.73859,280.9469,425,4
124,113,0.153537,4396.266827,1,323.82864,277.10324,348,61
125,223,0.007235,3700.726305,1,453.57675,311.3238,249,11
127,222,0.211259,295.692279,1,355.02332,218.79385,185,0
128,112,0.20328,2467.211769,1,474.34125,298.5177,265,2
130,108,0.044914,8792.917029,1,362.79984,311.74442,421,0
131,105,0.068471,3359.556037,1,276.2927,493.91855,250,8
133,209,0.032924,8908.45478,1,419.76083,290.13406,216,10
134,203,0.290186,5817.701015,1,388.91513,106.00997,301,0
135,222,0.310775,3812.025346,1,429.41183,238.65057,295,0
136,205,0.186131,7859.191276,1,437.09427,379.43936,246,9
137,105,0.071544,7321.858717,1,345.85532,253.78004,265,0
138,103,0.018229,7293.049474,1,429.6213,331.85477,321,15
139,205,0.18023,6182.006924,1,323.00375,276.6286,255,0
140,208,0.756588,3484.998534,1,310.43744,234.67973,209,37
141,223,0.027551,9503.261723,1,534.0454,405.0716,253,0
144,223,0.009252,3251.49625,1,377.30264,198.83676,233,20
145,233,0.067538,6735.615404,1,386.76797,186.57916,279,0
146,112,0.317293,7202.786239,1,516.83246,371.20325,253,0
147,112,0.224125,9886.700684,1,431.8695,289.10492,246,0
149,106,0.268972,6356.780633,1,391.0593,250.01427,422,0
150,112,0.217501,1582.044097,1,556.8106,330.0355,269,0
151,209,0.044297,6724.81398,1,338.10315,335.41916,238,0
153,222,0.348215,1475.940431,1,357.26028,193.17421,307,0
154,200,0.052384,1277.440769,1,425.69388,332.9412,268,0
156,215,0.029813,1739.29758,1,343.33206,668.3361,202,0
157,112,0.225453,2745.413941,1,330.37134,180.44301,265,0
160,234,0.088981,2975.225871,1,383.30966,312.1137,240,0
165,209,0.110236,5541.055609,1,435.03152,312.35242,240,0
167,105,0.151377,6557.528727,1,387.40594,232.0278,264,0
168,203,0.09207,8209.802212,1,422.14548,295.9339,350,0
169,115,0.078919,494.999794,1,496.1574,385.77478,347,0
170,112,0.262891,184.141361,1,464.32608,282.2524,246,0
171,230,0.05235,4775.615953,1,352.53647,327.68317,259,11
172,105,0.338542,6801.569856,1,455.09003,418.8422,244,237
173,202,0.017155,3054.658044,1,628.74677,340.78976,398,0
175,220,0.063014,1445.159368,1,303.9608,316.41895,328,17
176,202,0.03149,6772.921319,1,467.18918,276.53137,321,13
177,215,0.08113,147.604192,1,247.74205,381.8762,176,19
179,215,0.038198,6356.564959,1,436.85052,238.31139,191,0
180,123,0.014295,7919.143443,1,383.62735,208.59152,454,0
181,103,0.231585,2291.780888,1,281.84882,318.5278,321,0
182,230,0.096241,2861.138041,1,351.79492,529.4349,281,7
183,123,0.038365,2870.244638,1,466.62503,479.98856,489,0
184,208,0.199706,7709.90043,1,387.19025,374.585,320,0
185,234,0.144416,5635.095173,1,353.96198,357.28976,240,0
186,103,0.024757,9325.438192,1,509.48798,321.9464,335,18
187,100,0.078505,3418.416479,1,336.58078,322.4763,282,4
188,203,0.048818,6917.762468,1,324.60098,340.1013,310,0
189,113,0.149395,8926.033389,1,496.85822,294.887,398,0
191,220,0.400915,7662.432448,1,378.9306,324.44455,312,12
192,203,0.03881,4635.863774,1,460.37793,434.04474,229,0
195,205,0.068264,9519.07652,1,442.18155,295.19693,236,3
197,233,0.077322,7280.491024,1,323.24652,203.37885,287,0
198,101,0.296234,8262.518117,1,523.66425,409.97964,352,1
199,105,0.089893,9730.846594,1,290.2421,178.60098,272,0
201,113,0.078502,5081.71898,1,433.5072,340.52945,335,0
202,100,0.021675,608.659516,1,419.90793,278.16293,286,2
205,210,0.149649,8793.354291,1,283.55972,219.52121,265,2
206,215,0.019133,5103.5196,1,414.7221,271.56552,183,16
207,114,0.218588,735.993885,1,334.25995,101.90453,342,0
209,219,0.043252,6331.69854,1,412.65405,395.57733,304,0
210,101,0.354958,1173.333889,1,436.8138,412.2102,360,16
214,103,0.011385,100.164961,1,309.2866,175.91057,322,9
215,222,0.182097,5769.492757,1,332.02863,284.34756,175,158
218,121,0.020588,7902.662781,1,447.72693,328.92438,305,2
219,201,0.024425,3969.515374,1,297.2676,293.48502,204,123
220,203,0.039367,347.637123,1,207.33804,284.51395,160,144
221,116,0.083965,8734.326737,1,472.7206,272.5676,269,0
222,100,0.079133,2288.938627,1,496.7734,271.38196,275,4
223,234,0.07528,4085.635712,1,401.78586,360.7881,240,0
225,220,0.05498,9322.600246,1,456.9146,287.6911,310,12
226,114,0.133975,4140.799298,1,477.64368,236.49144,366,1
227,115,0.091475,4732.632012,1,404.12048,322.75482,328,1
234,219,0.067531,2155.103481,1,472.6731,294.09216,338,0
235,213,0.063823,8848.506133,1,443.51926,468.3805,195,28
236,117,0.016002,5839.824386,1,537.13654,410.871,417,16
239,203,0.160031,1810.331831,1,227.2889,292.945,159,108
240,113,0.047821,7756.736731,1,480.3315,512.3351,395,0
241,222,0.285903,454.659015,1,264.7123,235.10115,276,77
244,215,0.014568,7711.316239,1,423.17435,372.01736,194,0
245,113,0.089319,4960.338404,1,332.4076,119.44577,384,6
246,210,0.044206,8435.534725,1,330.36984,282.76047,201,49
249,113,0.129736,5714.019119,1,428.82568,145.14642,373,14
251,105,0.072894,5570.96774,1,230.38422,317.93045,254,0
252,213,0.037552,7385.509335,1,454.89938,327.4814,193,22
256,115,0.084295,9721.605524,1,497.78412,424.74634,331,0
257,213,0.051668,6365.734793,1,466.66895,305.3641,193,4
258,200,0.04453,1940.818088,1,500.83777,455.43805,284,0
259,217,0.032299,3246.02747,1,406.90875,194.232,288,0
261,101,0.22175,5163.067168,1,322.92145,274.0685,312,0
263,228,0.226194,5897.025719,1,393.76212,219.43466,315,119
264,122,0.107237,6330.113224,1,503.50406,550.75323,251,0
265,223,0.008075,2491.182038,1,404.207,291.2662,252,0
267,113,0.127272,2353.52322,1,393.55252,183.91544,355,0
270,210,0.064717,8689.291544,1,404.53918,321.2655,237,0
271,115,0.044674,1472.503961,1,460.27097,126.66447,300,0
273,203,0.177971,6281.338129,1,449.16614,186.39265,142,103
274,200,0.290418,7736.091761,1,517.01917,400.36188,350,0
275,205,0.126769,7759.081082,1,369.944,119.36073,230,4
277,106,0.277218,4211.603587,1,345.02737,207.70699,294,7
281,223,0.013542,1376.223923,1,597.04346,296.34814,246,0
282,203,0.115036,3684.248921,1,402.13797,241.8187,232,30
283,112,0.307839,2069.192255,1,489.56274,385.76065,241,8
284,228,0.078782,3855.52595,1,383.98773,325.75635,389,0
287,205,0.223409,4451.291614,1,350.64648,519.7834,244,0
288,205,0.092108,7807.97565,1,324.5335,285.8018,238,14
289,105,0.043564,9148.843449,1,342.2143,239.63716,258,6
291,213,0.063033,8644.291671,1,399.28186,292.10968,195,22
293,205,0.094314,7903.964344,1,544.5106,400.91177,239,0
295,200,0.159872,1862.049032,1,342.55743,213.11328,272,0
296,121,0.018754,9089.923887,1,403.94177,347.05777,355,0
297,220,0.093187,89.800623,1,269.27097,306.09622,312,0
298,213,0.049735,3575.930325,1,460.27948,303.7177,196,19
300,203,0.021985,6608.989282,1,523.7638,418.79736,277,0
301,112,0.314257,9504.228172,1,438.3054,310.52563,253,15
302,233,0.059776,285.913914,1,383.9162,343.07083,213,0
303,101,0.308135,2564.675918,1,501.3082,419.5414,383,0
306,213,0.028966,6441.606146,1,318.42914,195.93115,206,0
307,200,0.260147,6743.515174,1,467.7649,407.80502,267,0
308,119,0.04737,1203.464629,1,458.36682,789.5881,327,0
309,222,0.239052,4155.386609,1,462.98795,327.85266,296,0
311,215,0.060099,8753.723775,1,466.3028,343.55194,194,0
312,121,0.012842,9005.915501,1,421.923,198.43848,375,0
313,101,0.402302,109.494467,1,246.67107,296.54868,338,0
314,220,0.045816,1504.138038,1,416.32434,187.21307,329,16
315,210,0.055054,5497.015948,1,463.97952,262.3106,229,95
316,115,0.059979,7477.92862,1,410.62546,207.33301,310,60
317,215,0.023264,6073.374045,1,461.57336,243.87405,202,0
321,106,0.291477,861.894313,1,366.6379,77.19038,378,18
322,119,0.053276,6285.008166,1,551.10565,300.7014,457,0
324,223,0.006426,7490.821358,1,446.84705,372.1544,272,0
328,205,0.055066,6189.276338,1,344.83087,212.23051,235,11
330,106,0.303284,4902.211715,1,318.1053,196.4768,380,9
333,119,0.025138,5796.339608,1,539.4505,287.27792,324,20
335,201,0.010465,2523.851493,1,416.856,322.36313,228,0
339,234,0.097195,2746.513384,1,270.9444,244.55133,206,84
340,234,0.128152,3244.730541,1,464.32147,255.87714,246,0
341,201,0.017145,3948.02312,1,498.5073,298.82318,425,0
342,106,0.294349,1861.941914,1,209.35602,329.46198,329,0
343,210,0.041524,979.592268,1,582.6307,373.26053,211,44
344,205,0.165874,5233.137333,1,395.29572,194.928,233,1
345,228,0.14929,4327.648516,1,308.6989,275.12946,307,54
347,202,0.013824,2123.622554,1,397.49365,570.9034,413,0
348,220,0.059,7095.720856,1,290.88455,299.9451,315,2
349,122,0.049792,9349.546401,1,484.42987,251.1333,266,14
350,223,0.013361,6517.275121,1,404.80356,277.9271,340,0
351,209,0.099072,3158.526056,1,423.1749,188.42644,217,9
352,213,0.03729,3498.777126,1,396.13785,236.9317,208,0
353,228,0.07728,2877.040188,1,495.2456,410.6446,437,0
354,205,0.095414,3888.233482,1,324.29343,508.96237,241,0
355,203,0.147784,3622.997227,1,341.4604,200.98314,241,27
358,221,0.040201,5139.486111,1,428.28143,377.07584,367,0
360,223,0.010398,6984.865881,1,283.6367,158.6232,267,0
361,108,0.067762,1461.659196,1,397.6697,211.9654,368,19
362,112,0.268622,9337.161238,1,392.6325,426.4073,261,4
363,112,0.234242,8441.84367,1,386.60123,361.85907,267,0
364,108,0.08644,4913.369551,1,353.43088,361.4116,333,66
365,234,0.126209,2813.074556,1,408.58722,528.75653,238,9
367,209,0.174274,4253.635768,1,497.32086,328.14716,192,77
368,208,0.343066,7701.701048,1,420.24722,312.20093,301,0
369,119,0.020895,3999.768028,1,429.82498,312.74054,316,14
370,123,0.038592,5309.281556,1,399.9265,325.20874,495,0
371,116,0.029827,2694.145151,1,333.66415,391.91724,280,0
374,203,0.351282,6984.48773,1,489.97327,305.08417,124,89
375,213,0.045946,1382.322221,1,548.13763,390.51324,199,1
376,103,0.525622,7526.995109,1,514.0822,425.75867,333,0
377,208,0.127391,2577.525323,1,344.20563,592.2356,266,0
379,108,0.060296,5632.993997,1,346.23242,283.49423,383,0
382,220,0.052591,9034.5843,1,414.9214,400.76764,363,0
384,234,0.126194,7538.718149,1,476.83112,252.36212,246,0
386,108,0.068134,7242.065629,1,508.35153,286.00116,423,0
388,119,0.023521,6944.110241,1,374.4395,489.92252,300,147
389,222,0.091357,5858.651615,1,412.57596,288.64136,156,231
390,210,0.062115,73.227689,1,382.05493,284.5873,262,14
392,117,0.027972,802.027189,1,398.5009,266.19797,446,0
393,100,0.077402,340.970713,1,338.9768,292.96106,283,2
394,122,0.062551,2856.989987,1,346.6355,352.14557,263,0
395,223,0.011565,3578.918913,1,436.0325,277.76456,249,9
398,210,0.079903,7739.182441,1,395.4784,246.36165,229,26
399,103,0.019851,8777.434895,1,433.00058,269.42358,282,2
400,205,0.059793,1514.782946,1,382.4389,309.7845,241,0
402,122,0.097884,3999.511065,1,332.1415,195.45146,261,0
403,119,0.07118,4595.465923,1,432.314,306.02057,442,0
405,112,0.280991,4514.509914,1,488.87323,358.13318,265,0
406,122,0.059936,6807.565976,1,365.82257,296.44965,263,6
408,100,0.04209,8088.099408,1,415.41928,272.148,288,0
410,200,0.052114,7968.204793,1,337.74744,257.6032,234,1
411,123,0.022237,9346.480315,1,402.3665,138.81245,409,0
413,200,0.07497,2514.49956,1,342.67554,347.50287,251,19
414,203,0.197253,8254.979188,1,407.40546,58.567165,122,202
415,200,0.041637,17.368804,1,482.12836,572.5029,324,0
418,200,0.071503,7473.141455,1,378.4933,202.7309,201,37
419,213,0.050991,9803.705072,1,369.40497,57.77794,187,22
421,209,0.189698,9535.000903,1,523.6883,443.9236,245,7
423,114,0.252255,7111.536256,1,356.81824,274.49832,289,12
424,105,0.118393,3074.995824,1,416.524,428.11664,261,1
425,210,0.057463,6306.45094,1,421.97992,359.6338,250,3
426,122,0.059419,8745.506352,1,446.72028,150.16399,259,0
428,205,0.134472,7137.063252,1,439.8425,266.43344,266,0
430,100,0.07462,1220.453672,1,310.9555,219.96806,291,0
431,105,0.198461,9048.242458,1,383.00772,344.93277,241,2
432,105,0.177781,702.348967,1,417.81232,339.09744,266,0
433,230,0.058122,436.21128,1,428.7,381.90762,257,0
435,119,0.064228,5487.059121,1,450.02884,440.40668,466,0
437,115,0.149674,1708.647778,1,468.15125,352.16293,330,16
438,112,0.207585,7732.680482,1,477.07574,333.55322,257,8
439,215,0.016111,8872.299493,1,326.69266,369.42526,190,0
440,228,0.102763,4056.439632,1,302.66675,171.76762,320,15
441,108,0.039232,5044.29836,1,384.55264,544.8075,332,8
442,201,0.011488,6857.714483,1,389.23285,356.6359,585,0
444,233,0.051614,7852.804258,1,249.90184,277.14838,261,0
445,209,0.266119,501.620603,1,480.5545,393.06995,232,5
446,220,0.033541,749.497283,1,388.91522,396.1919,341,40
448,234,0.140538,8299.281976,1,435.63242,257.62112,239,0
449,231,0.154249,4075.76242,1,507.3849,317.98242,617,0
451,230,0.059693,7867.384743,1,338.12332,268.7111,262,2
452,205,0.097792,4622.590272,1,488.4662,429.8618,234,0
453,219,0.060316,8847.899489,1,329.09543,245.50676,356,0
454,103,0.037285,1102.387847,1,430.6627,443.36584,331,0
455,213,0.046831,9332.21093,1,319.51788,373.2735,202,0
458,234,0.124036,720.514908,1,514.61365,426.52838,230,0
459,230,0.092033,8900.244496,1,510.91077,253.3718,285,21
461,103,0.064439,1882.745185,1,480.02136,425.12482,295,28
465,223,0.017486,5685.464229,1,341.92566,403.0648,236,6
466,222,0.082719,6839.361302,1,402.1847,338.83197,152,58
467,221,0.051834,3067.037787,1,388.73813,212.85675,259,61
468,113,0.120982,7855.977297,1,360.98334,178.59991,335,35
469,103,0.013181,4651.479708,1,333.3036,293.845,333,0
471,203,0.230932,2129.454016,1,349.01453,310.21368,336,0
472,208,0.547611,5618.387319,1,493.0769,308.91495,272,0
476,220,0.057061,3544.861668,1,383.91412,270.58466,332,3
477,200,0.0267,6383.666135,1,470.45865,264.20065,321,0
479,106,0.176821,1435.764144,1,379.33258,182.6655,362,7
480,205,0.099774,5210.309303,1,548.4584,232.01727,269,0
486,213,0.066253,1553.388387,1,326.77316,191.81056,195,6
488,202,0.024601,1685.420729,1,538.07996,433.54785,415,0
490,200,0.090243,5900.310921,1,288.02362,374.23795,265,0
493,215,0.021778,7344.15891,1,395.9329,263.38983,224,0
497,112,0.285787,5431.230463,1,359.1197,66.13276,255,2
498,223,0.014145,5001.89962,1,394.79474,341.68344,263,0
499,114,0.394368,3737.326557,1,410.03235,262.42807,344,0
501,114,0.273034,8896.543482,1,419.53973,403.06482,425,129
504,112,0.317496,1861.94813,1,408.05368,383.77444,257,0
505,222,0.143372,9511.12039,1,406.81598,347.1596,146,16
506,210,0.030559,2806.433919,1,409.6617,339.88147,247,0
507,217,0.044986,2319.085119,1,385.63776,151.38904,252,88
508,114,0.131792,5874.013654,1,392.19882,212.39302,348,0
509,116,0.035365,1922.110754,1,417.88165,420.8069,278,0
511,108,0.049948,262.577503,1,493.01285,335.04642,360,40
514,208,0.15512,5941.485498,1,366.26282,457.26172,317,0
515,203,0.08194,7179.843218,1,352.6781,279.3524,229,0
517,115,0.0554,1328.008741,1,475.62436,427.02164,293,18
519,215,0.047147,5802.453692,1,460.01782,233.57877,182,9
520,106,0.46032,5706.435257,1,392.61386,128.31892,353,0
521,113,0.059087,5445.767488,1,603.16235,398.5559,352,43
522,119,0.030563,8756.873448,1,384.23126,264.6852,331,0
524,210,0.065179,320.933146,1,392.54132,356.6188,264,0
525,222,0.231607,8079.603058,1,398.8806,245.06424,172,0
526,209,0.121042,9694.52891,1,452.90622,276.90753,195,0
527,223,0.00973,4481.100519,1,412.7247,232.81645,320,0
528,115,0.087954,8743.733085,1,355.72955,260.33536,330,50
530,222,0.244834,1715.87744,1,465.3187,277.2481,234,72
531,233,0.072375,4095.720235,1,373.11633,298.83127,205,3
532,222,0.239911,9402.715993,1,508.50558,422.31055,345,0
534,231,0.081836,4068.079431,1,428.54532,402.27136,572,51
537,212,0.374937,3331.750054,1,384.76108,261.96942,269,0
539,101,0.115336,630.813726,1,326.58646,342.2568,377,0
540,101,0.086145,4244.596336,1,371.1949,54.368603,366,0
542,105,0.122315,1169.983083,1,302.99655,150.22911,245,0
543,112,0.365521,2106.005953,1,405.8666,306.25143,265,0
545,122,0.091646,4649.96136,1,435.93848,324.78094,246,9
546,119,0.04003,5830.71608,1,411.30167,287.02655,343,0
549,233,0.058203,4190.210421,1,392.77457,370.47122,281,0
550,209,0.08457,6859.221746,1,498.99908,459.01535,237,5
551,201,0.007311,9047.033203,1,357.11566,243.1051,149,100
552,233,0.071615,3346.612324,1,282.1137,165.91716,212,62
553,122,0.143029,9331.258742,1,506.25757,409.3547,266,1
556,215,0.038296,1115.75176,1,443.7262,330.51395,183,12
557,112,0.202419,3596.014599,1,393.5546,96.38374,259,0
558,223,0.016693,3976.865347,1,361.52188,354.86435,247,7
559,205,0.131166,3080.023937,1,432.14868,215.07663,267,3
560,210,0.247997,8413.289864,1,335.6083,205.52742,254,0
561,112,0.260762,3179.591897,1,437.79755,378.26892,255,0
562,119,0.031999,1435.942345,1,408.24042,308.54855,456,0
564,217,0.041833,4368.392547,1,432.9381,325.64642,281,26
565,234,0.086158,781.839578,1,436.52536,84.39054,241,8
566,122,0.065079,7089.71398,1,464.08997,310.0641,291,0
568,119,0.023123,9313.802676,1,422.03946,284.39725,335,121
570,122,0.146958,6215.184955,1,395.23782,305.36115,237,3
571,117,0.040142,2587.595886,1,419.43347,346.5577,414,20
573,108,0.062489,1838.313297,1,352.90665,338.09332,400,0
574,209,0.047776,2296.153041,1,393.06262,436.15665,215,27
575,112,0.346685,1085.467915,1,312.22076,148.06607,248,6
576,115,0.042415,9803.688488,1,411.84424,307.92023,434,0
578,101,0.29089,3349.180499,1,426.31226,254.23459,345,0
579,205,0.251952,1276.458814,1,426.36652,193.42812,234,5
580,121,0.010523,4474.085366,1,307.24323,308.27347,347,30
581,231,0.102502,5554.888531,1,237.81978,274.05008,592,27
582,228,0.058251,4063.41012,1,433.4172,285.6852,558,0
584,200,0.06051,7281.920649,1,363.52908,491.8627,428,0
585,209,0.030435,3483.14782,1,390.4253,239.2307,227,0
586,209,0.034122,9898.529189,1,342.16656,144.83154,217,0
587,234,0.100448,6558.958348,1,312.95737,202.48979,226,16
588,200,0.174248,3315.286893,1,481.8143,312.63034,230,0
589,219,0.084909,4345.409923,1,363.3883,351.96017,305,0
590,116,0.021079,3612.052703,1,420.27515,471.48456,273,68
592,123,0.048852,7285.465084,1,486.25592,224.69818,508,0
594,228,0.12326,7185.524226,1,365.2968,390.9324,307,103
595,210,0.216083,9838.636508,1,397.6727,512.28424,267,0
596,230,0.067076,4765.438474,1,430.4694,367.95825,312,0
598,115,0.085908,5082.376028,1,473.01355,442.74036,308,0
601,212,0.171634,1090.96568,1,460.5607,305.01645,263,0
602,116,0.016947,9113.32848,1,314.61566,319.81708,276,3
603,115,0.114941,467.898337,1,468.39328,245.71962,312,0
604,220,0.044231,8853.171651,1,467.52142,326.9245,332,0
605,220,0.094552,653.302596,1,471.6931,209.01341,305,8
607,209,0.213776,8852.550204,1,514.8797,332.988,234,0
608,101,0.43084,8114.597282,1,335.49326,310.38303,343,24
609,108,0.058028,6153.780039,1,320.02026,228.15704,380,0
613,220,0.039289,1236.118633,1,422.31595,398.69104,331,5
614,100,0.025738,3678.002872,1,443.6333,257.01932,295,0
615,121,0.066785,196.183723,1,262.63312,308.56763,338,0
617,213,0.048838,5364.567009,1,284.27606,458.27765,189,16
620,105,0.385511,6554.61936,1,507.93106,443.65057,268,0
621,112,0.368218,7793.922261,1,530.1991,606.96204,262,0
623,202,0.016398,7611.415767,1,425.11545,359.87265,241,65
624,208,0.135168,3829.102041,1,363.23975,309.14896,189,28
625,103,0.019092,683.197176,1,443.23312,161.59724,319,0
626,119,0.053889,87.394071,1,353.45383,331.12027,466,0
627,123,0.024541,8108.813216,1,481.07993,330.92642,416,83
629,213,0.057064,1299.070246,1,351.32108,351.60092,198,1
630,112,0.314524,709.994639,1,534.159,440.2859,257,15
631,209,0.090889,4011.917831,1,402.6548,363.96017,243,0
633,215,0.017428,732.593802,1,316.09506,283.61603,198,8
634,115,0.070274,8501.224925,1,339.40216,134.50613,364,0
635,221,0.134605,8685.808381,1,433.7274,699.3499,255,0
636,223,0.015855,9232.533157,1,338.7725,231.91466,305,0
638,202,0.028706,244.924262,1,392.89175,261.92792,188,84
640,202,0.010219,3880.693719,1,367.58502,328.71024,258,0
641,116,0.036289,6179.845006,1,346.28256,237.18143,263,9
642,116,0.029833,9207.739034,1,503.20108,206.4787,272,0
644,228,0.127609,6206.352104,1,486.24988,257.37213,350,0
647,219,0.051736,4785.257515,1,467.83075,503.964,339,0
648,105,0.11896,8881.374728,1,395.49634,450.11865,277,75
649,116,0.057089,4632.990075,1,416.03638,337.16455,271,0
650,223,0.011135,2023.308827,1,476.41452,343.6321,247,3
652,210,0.081414,1523.387956,1,417.65527,170.30188,249,0
653,201,0.013689,5810.732741,1,435.58478,214.81996,230,0
654,212,0.285853,6641.929721,1,278.07584,248.34615,244,0
655,114,0.120579,1423.014264,1,367.2495,363.04657,423,0
656,208,0.096038,1783.044302,1,350.9417,369.1186,235,21
657,203,0.2084,59.743871,1,280.63843,212.74637,-649778,1300150
658,200,0.026963,6925.961149,1,539.7601,564.7633,307,0
659,209,0.271773,8434.738628,1,339.97498,230.28882,248,0
660,209,0.060353,4405.420896,1,405.91888,382.87012,207,55
663,233,0.047289,1125.717133,1,362.0885,199.68115,215,84
664,209,0.116941,3431.914998,1,506.26025,370.46613,246,1
665,222,0.340981,8845.148475,1,451.51163,237.28918,280,0
667,222,0.292011,1957.654417,1,495.538,350.54907,342,0
668,212,0.159284,8507.340359,1,471.13684,386.61008,240,9
669,209,0.031777,340.287052,1,219.33972,271.80124,219,11
672,221,0.050061,7322.660404,1,380.55566,107.76597,256,134
676,100,0.049952,4272.268551,1,317.9556,229.03311,267,9
678,200,0.071288,2250.127346,1,292.74933,302.83026,233,0
